ax,ay,az
22,-5,2
23,4,-7
39,3,1
21,1,14
30,-7,-6
27,-6,6
37,-3,-17
35,-4,-4
20,6,0
26,-12,22
45,-4,5
26,-4,6
24,-6,-12
53,-13,-1
36,14,1
29,2,0
23,6,4
15,0,-4
32,-1,-8
43,-2,-4
36,3,-10
25,-10,-1
20,9,7
11,9,-11
31,1,-12
24,-4,-3
51,-13,-4
39,-21,28
36,-20,23
23,-6,2
34,5,-22
40,-3,7
22,-7,4
22,4,-21
29,2,-2
41,-18,-2
40,-11,0
38,4,-1
25,3,-1
44,-12,-10
37,-2,18
21,4,-3
26,-4,5
28,1,-1
25,0,0
41,6,-3
31,-12,-1
20,5,4
37,7,-25
39,12,-15
30,4,-3
37,-5,3
38,0,-12
32,7,11
24,-17,14
19,-8,-2
33,2,-6
32,-3,5
25,13,-16
38,5,-12
23,-3,0
25,10,3
39,7,-3
11,-3,4
29,2,-5
30,2,-6
39,10,-7
14,-3,-4
51,-2,-7
28,-8,3
27,-1,8
26,-6,-11
38,-4,-16
29,1,12
16,-11,9
23,-11,1
23,1,-7
30,-10,9
28,-7,6
31,-11,-5
39,1,-1
32,-15,5
31,-2,1
15,-10,19
18,-7,-5
32,3,0
21,8,-6
31,-3,15
44,-1,-1
29,8,-8
31,18,2
19,-7,-7
35,6,-13
19,0,-1
34,4,-4
33,2,3
17,-2,-6
49,-5,13
29,-9,13
27,0,0
37,-15,14
29,-2,-9
38,-9,2
22,3,-21
31,8,-10
31,4,-2
27,0,4
20,-5,12
40,1,-2
36,-25,16
27,-13,13
33,8,-8
36,7,-22
22,14,-11
29,-21,24
43,-2,-3
34,-11,6
28,-13,16
35,8,-10
34,-9,-4
39,1,-3
20,-5,5
31,2,-2
47,6,-5
14,-10,4
30,5,4
31,8,-22
32,-5,3
22,11,1
19,-1,-9
46,9,-7
33,-3,-5
24,4,-5
36,5,-1
29,-17,10
44,9,-5
22,-13,5
27,-6,11
30,-1,-9
22,-1,-1
28,3,2
32,10,1
27,-4,3
29,7,-5
25,-15,18
52,7,-13
28,-12,4
12,2,4
28,2,-2
27,-6,7
40,13,-11
26,-17,7
35,-4,-1
21,3,-2
32,8,-11
31,-3,6
24,-6,8
35,3,4
31,-11,-1
32,11,-6
24,-6,6
39,10,-11
31,-7,0
36,14,-9
16,-6,8
20,10,-4
47,1,0
36,-4,-6
25,0,1
32,-1,-7
34,11,-14
27,-4,5
39,11,-9
30,2,-2
33,5,-5
28,-13,12
50,14,-13
29,-12,13
32,11,-5
28,-9,0
38,8,-13
16,-9,26
23,10,-3
31,-9,-9
45,-2,0
15,-11,13
19,9,-8
50,3,-26
30,-1,0
25,3,1
27,-3,1
34,2,-9
32,-7,12
37,10,-9
21,4,-3
54,-12,10
16,9,6
7,-2,4
34,-4,13
37,1,-5
42,7,-18
13,-12,4
30,-3,21
27,7,-29
60,-23,10
34,1,14
27,-13,-1
20,-10,-10
35,-18,-17
13,-9,10
32,23,-6
33,8,-16
36,3,2
56,-8,-3
29,-14,4
20,11,-13
23,18,-13
48,-11,12
51,13,-15
19,10,6
31,-4,-3
52,-7,-15
20,8,-1
31,-15,6
35,0,6
41,20,-16
36,-7,6
25,22,13
11,1,-20
47,-5,9
46,7,-2
23,9,-8
22,1,-13
37,-13,-5
28,-6,-6
33,3,-2
40,11,-8
29,14,16
37,11,1
45,6,-12
30,-5,7
27,2,-7
32,-3,-9
25,-6,-3
31,-17,12
15,6,-1
30,0,-13
35,10,-7
20,30,-9
41,-7,-11
31,-10,11
37,3,1
49,-23,19
17,19,-7
21,20,-22
35,3,16
35,9,-21
31,11,-4
42,-9,22
38,-10,1
37,-2,12
39,6,5
29,6,2
52,8,7
37,16,-1
18,0,10
29,-16,26
19,-6,-10
42,-17,10
24,-20,31
49,4,14
35,12,4
26,19,-10
28,12,-3
31,-1,13
20,9,22
37,-10,27
21,-7,-1
40,-6,-19
46,8,-9
34,-7,9
9,-8,-13
36,7,18
24,13,-11
40,4,14
49,13,2
34,-3,8
39,0,12
41,4,-3
22,-5,22
38,4,10
37,-6,6
40,14,-4
42,9,-11
29,5,-3
31,3,8
23,-4,-1
31,5,-9
23,-5,-1
19,1,-3
27,-1,1
34,-6,-2
17,-9,12
27,1,8
29,-1,-6
35,-12,18
40,7,1
21,-9,16
39,11,-9
30,7,-11
25,0,1
34,6,12
43,1,10
36,2,3
31,10,-3
35,-9,31
39,2,-8
31,-8,2
20,-1,21
34,12,-14
34,-5,6
20,-6,1
14,11,-5
29,-2,1
43,0,-6
33,7,17
33,14,1
42,-2,16
50,3,1
26,-12,3
32,-1,-3
19,0,-5
