ax,ay,az
26,-4,5
30,2,-3
36,-7,3
35,2,-14
32,4,-9
30,1,7
28,-4,8
25,-1,-1
32,-7,0
37,-15,8
39,0,-4
31,-5,7
29,5,-2
31,-9,-3
37,1,-11
26,6,-3
18,4,9
28,-5,5
39,-5,-3
35,-6,-1
20,0,8
25,-16,12
27,-7,7
35,-16,6
31,-8,11
26,-3,8
28,-13,1
29,8,-13
35,3,5
30,3,9
28,-11,11
33,-8,0
36,6,-13
24,9,14
18,0,3
37,-1,-8
44,-4,-6
22,14,-5
26,7,5
34,-12,6
29,2,4
27,2,4
41,13,-4
30,8,-2
53,-10,6
34,-5,7
22,8,-1
29,-2,21
24,22,-1
33,-9,-14
27,-16,-1
36,4,3
40,8,-1
31,-3,15
17,3,0
30,2,-12
41,-6,4
27,-1,14
33,2,6
29,-16,-4
35,5,-13
26,5,1
19,0,14
42,-3,10
29,-5,-2
36,-8,-1
32,7,-14
27,16,-6
38,-1,15
21,-4,12
29,-5,9
23,-8,2
22,2,-6
37,17,-22
55,-7,3
23,-7,25
12,3,-2
34,-19,0
22,5,-12
45,-5,1
49,-6,7
30,0,8
25,4,12
17,7,9
17,-13,6
33,-5,-10
45,-22,4
30,4,0
27,12,3
19,9,0
19,1,1
30,-16,14
49,6,-14
67,-16,5
34,1,11
17,22,-21
26,15,-23
51,10,21
29,0,-1
-1,-24,28
34,-20,-3
52,0,-8
31,1,4
9,6,-4
7,-12,4
25,7,13
40,7,-20
47,1,5
17,15,-3
31,9,-8
33,8,-3
26,-2,-2
33,-9,3
37,-18,14
20,2,7
26,2,4
16,-3,6
18,-5,9
21,-17,13
29,-14,3
33,-15,9
31,-11,14
30,7,-19
33,-1,-5
21,-2,14
16,-3,9
31,-12,1
45,-11,16
24,-4,-4
29,-14,9
24,1,-7
14,-4,0
31,-12,9
21,-6,8
24,-12,7
34,-22,17
6,-16,14
33,1,-6
42,-1,-2
0,12,-10
22,5,-6
31,-6,3
21,0,12
29,4,-6
33,-9,6
38,-9,14
41,17,-11
35,7,4
28,14,7
41,14,-10
42,9,-12
36,-14,9
35,-6,-3
31,13,-10
10,-1,10
20,4,-6
28,7,-11
27,4,8
27,2,-1
28,-4,4
33,0,1
36,-7,2
41,1,0
45,5,-3
26,-2,-2
25,7,0
34,8,-5
17,-9,16
27,6,-3
48,1,-10
34,-3,-1
30,-7,9
37,7,-10
35,2,-11
42,1,-5
25,1,-1
20,11,-8
33,13,-7
31,11,-1
40,2,8
42,-6,2
34,-7,2
16,-20,20
18,-12,9
30,-11,6
45,16,-9
38,15,1
30,7,-3
29,-21,21
29,1,7
23,-13,5
18,12,-16
49,0,-6
35,-11,4
23,2,3
25,-6,-3
26,9,5
9,23,-30
72,-7,-7
51,-8,7
13,4,2
14,-15,10
8,-15,7
28,6,-13
72,0,7
16,2,-3
19,-14,-6
62,-11,12
41,23,-1
9,37,-21
47,-6,5
34,11,-13
23,6,-5
37,2,12
19,9,13
23,-4,3
26,-13,4
18,3,-13
36,-6,1
39,-3,7
27,13,0
35,-11,1
35,-3,10
19,-6,21
38,11,-12
33,-26,39
39,-2,9
7,4,-13
33,-11,4
17,-6,38
33,-7,-1
48,-10,4
30,10,17
39,28,-24
24,-11,-1
45,-5,24
54,5,-4
34,-13,3
31,-11,15
22,-7,5
30,-5,5
27,-5,9
18,-4,9
30,-9,-10
18,7,-5
28,4,8
45,-18,-10
31,-15,34
34,7,-22
42,7,-10
24,1,29
23,22,-19
57,2,8
18,9,1
20,4,0
28,-4,-8
48,-9,17
12,-8,11
31,0,-13
45,-6,-8
35,-6,11
27,-22,-2
16,-2,19
35,27,-23
60,8,0
23,-7,25
33,-3,5
65,2,2
34,-7,15
31,10,-1
31,-7,0
31,11,1
9,-2,13
28,-14,12
32,-8,6
11,10,-9
54,12,-19
19,-23,17
8,-6,19
12,4,-18
60,6,-2
26,-8,-2
18,-15,29
44,9,4
38,2,-14
24,8,8
50,-1,11
24,-3,-1
41,3,5
37,-7,16
8,8,-4
30,8,-12
41,-12,11
33,3,-10
24,-4,-3
27,-4,8
22,-10,11
29,5,-20
33,-11,9
17,-11,9
29,5,-11
35,2,0
14,-6,-1
40,7,0
35,-10,13
14,-15,25
43,3,-16
36,-5,-5
27,-1,22
36,17,-7
31,-5,10
37,13,-9
35,5,-2
34,7,-3
47,7,3
22,-3,9
38,8,-8
32,-7,5
35,6,0
31,1,-7
21,-5,-3
26,2,-4
47,-8,12
3,-8,21
12,-3,9
50,-17,4
40,-4,10
21,-3,1
9,-15,2
29,8,-5
35,-19,-3
21,15,1
31,11,-8
20,-8,-6
45,13,6
25,-10,17
29,0,3
36,-6,4
30,-1,12
41,8,4
31,0,1
39,5,4
35,3,-6
46,-3,13
47,3,-11
28,-1,10
43,11,-10
28,-4,23
43,10,-22
39,-4,5
24,7,13
39,3,-14
35,-1,-6
37,10,-4
22,3,-14
45,6,7
17,-4,4
39,8,-14
15,-3,12
38,5,2
23,-1,6
37,11,-10
25,-13,16
39,3,1
31,-9,4
29,13,-10
