ax,ay,az
39,8,-2
17,-9,3
19,3,13
31,-2,-10
41,8,9
24,-6,26
56,10,-16
37,0,9
26,-2,-2
22,2,13
55,-4,-2
19,0,-11
33,7,2
45,-3,1
29,1,12
35,13,-9
31,-5,34
10,4,-29
28,13,-9
57,0,24
16,-6,10
7,-2,-20
37,5,-8
39,2,15
21,-4,8
44,-7,17
37,-4,-1
26,3,7
33,17,-12
40,6,10
29,5,-1
25,-13,6
25,-7,-3
33,0,-1
29,11,-2
33,16,-8
38,7,-3
27,8,4
27,9,5
48,-1,7
37,4,-5
33,0,-2
29,-1,14
40,-10,11
29,1,-10
29,3,11
30,5,0
40,1,5
27,7,2
29,5,-3
35,5,7
33,2,8
18,1,4
28,-8,-1
38,-9,12
18,-5,5
23,-2,-4
28,-2,-6
28,6,-3
33,-1,10
33,-1,10
30,5,-12
36,-6,7
30,4,9
22,5,-3
32,-8,2
34,-3,-6
41,-7,10
23,8,4
29,-4,-9
25,0,-2
33,7,-10
29,5,-10
21,5,-5
26,8,-7
21,3,1
38,-6,-6
33,4,4
33,4,-9
31,3,8
26,0,-3
20,3,6
31,2,-7
38,2,-5
27,-3,18
21,7,-4
27,1,4
27,-2,4
29,-8,-2
23,2,3
37,5,4
26,-7,4
32,-2,-13
38,-6,0
33,-5,5
38,1,-2
24,2,14
25,-10,10
33,-4,-10
31,-6,-4
33,-7,-3
41,-4,-4
27,0,-2
21,0,3
34,3,-3
41,0,-4
36,5,-6
28,-4,0
26,-3,-5
33,-8,6
35,-11,7
27,1,7
22,8,-3
38,1,-3
36,3,-2
26,8,-6
34,7,-3
28,-5,11
27,1,8
36,-5,4
37,-4,5
23,0,0
29,-2,0
30,4,2
23,-3,-1
34,-12,9
39,-7,6
34,-1,3
35,-5,4
17,5,-9
23,1,-5
24,8,-9
20,6,-7
29,1,-2
30,1,-1
45,-2,5
36,-3,2
31,4,1
37,-1,7
37,3,6
32,7,1
28,10,-1
34,4,1
37,0,-1
32,6,-2
35,-3,4
35,3,-4
42,-5,8
33,-1,7
29,-3,6
38,-1,3
37,-9,4
41,-3,1
37,-4,-1
40,-9,10
26,10,-3
23,15,-1
28,6,0
29,7,-2
37,0,0
31,3,4
29,-4,9
41,-6,-8
35,4,-2
15,7,-2
15,6,3
40,13,-8
48,6,0
37,-2,10
25,-3,8
32,-1,5
30,8,-3
27,7,-6
30,3,1
32,3,0
39,-5,8
30,-1,4
26,9,-2
41,4,-1
30,-2,2
31,-7,7
27,3,3
22,13,-2
23,13,0
33,1,12
32,-3,8
24,7,5
36,2,0
31,3,0
36,3,0
35,-2,6
33,3,7
23,6,1
21,2,1
27,3,6
37,1,3
25,10,-3
50,8,-16
46,4,-2
16,12,8
14,11,2
38,-2,1
32,11,-2
24,7,0
38,-1,12
38,6,-4
30,5,8
22,8,2
27,10,0
31,2,2
21,3,5
28,6,2
44,2,10
31,11,0
30,-5,12
26,11,-3
25,16,-1
30,6,2
34,5,1
38,3,1
33,14,7
36,8,-5
34,0,2
33,-1,1
29,-1,2
30,7,4
31,16,-7
37,3,3
28,11,-5
32,7,-3
28,-2,6
34,2,10
34,3,2
32,2,10
43,8,-5
41,8,-1
22,0,14
23,14,3
28,13,1
38,1,3
25,9,9
29,10,-1
25,1,-2
34,-7,3
29,-1,15
22,13,-5
23,6,-6
30,-12,14
33,0,7
29,9,2
27,12,8
36,2,3
30,-1,3
30,-1,10
25,5,3
29,-6,3
42,-2,6
32,3,3
30,-1,6
27,-3,9
38,3,2
44,6,4
33,1,6
21,7,6
40,11,-5
43,10,-3
28,2,8
29,11,-3
26,3,10
41,2,-4
35,5,3
27,4,4
32,1,5
34,-3,7
30,4,3
23,14,-1
35,2,0
34,3,1
30,6,2
28,-1,-1
28,1,10
34,1,5
32,12,-4
28,9,0
36,7,8
37,9,0
32,-3,1
32,0,5
19,13,10
23,15,-1
38,6,5
38,0,8
28,-2,11
23,0,8
28,5,6
23,11,4
24,14,6
31,9,6
26,10,0
25,15,6
26,5,4
40,-1,-7
31,0,12
27,8,9
33,6,3
32,2,8
24,-5,9
16,1,-1
30,3,1
26,11,-1
22,10,2
35,4,6
37,6,-3
30,8,-4
25,10,-1
31,6,11
32,1,7
31,3,-1
24,4,2
28,3,3
24,9,4
27,1,6
30,2,5
27,0,8
28,4,2
27,4,5
30,0,7
35,0,4
30,-1,2
21,4,3
21,0,3
29,5,8
30,3,5
31,1,8
31,0,0
27,3,2
22,4,-4
20,3,8
35,-1,6
37,-3,8
27,-1,11
28,-2,10
32,-3,9
36,-5,7
21,19,-2
18,18,-1
29,8,-5
23,5,7
32,-6,10
36,-11,15
28,1,6
25,0,4
33,7,2
32,9,1
26,10,3
27,6,12
34,-5,9
33,-3,9
22,8,13
26,3,-3
29,-4,1
34,-11,4
29,-10,3
31,5,3
27,6,0
25,9,3
26,10,-1
34,-3,6
32,-5,6
28,-6,8
32,-2,6
24,10,0
29,8,3
29,-6,9
35,-5,7
38,-7,5
30,-6,4
24,5,-1
28,4,0
34,-2,2
32,-13,4
31,0,-1
18,3,2
24,4,-1
25,4,1
31,-9,10
33,-5,13
27,7,3
31,6,0
30,-4,6
36,-9,6
26,9,-5
26,7,2
36,3,7
34,-1,8
28,3,0
31,-1,0
23,2,-1
33,1,4
37,5,4
28,3,1
27,1,-3
