ax,ay,az
16,-11,-1
21,7,-22
45,-4,13
30,1,5
11,0,-8
31,-6,6
53,0,-19
48,-4,-28
-2,2,37
28,-12,-16
65,6,4
48,8,-11
27,6,-36
24,0,-15
29,10,4
53,-4,-15
31,-1,8
36,4,-10
36,-5,3
32,-1,6
30,3,-7
20,-4,-6
44,-2,0
38,1,-9
28,10,10
8,3,-28
63,-14,12
37,0,-10
29,9,-8
38,-9,-16
45,-4,14
23,-4,4
29,-3,3
29,-21,9
35,-7,9
42,0,-7
17,-2,-2
37,8,-7
24,-5,11
35,10,-5
28,-1,-11
32,4,4
40,0,1
15,-5,0
36,11,-7
25,-8,-2
38,9,0
27,-9,-2
46,-1,7
16,4,0
24,1,6
49,-1,-9
33,-7,-2
30,-5,6
22,-9,4
23,-3,-4
33,5,-11
17,-17,19
31,10,-7
37,-13,0
38,-30,35
25,9,4
16,-4,14
20,17,-24
28,9,-7
-16,14,-24
-13,15,-6
37,11,-2
20,28,-9
33,15,-31
42,8,-22
50,6,-5
31,-7,-2
38,-10,12
39,4,7
10,-13,11
35,7,-9
47,1,-4
15,2,-1
27,4,10
29,-6,5
30,-1,-3
37,5,-3
25,3,0
19,-3,8
24,7,-4
28,-15,11
37,-4,2
31,-8,8
27,-13,12
30,8,-8
26,-10,2
45,-2,-14
27,-5,13
12,8,2
47,-1,-27
58,-4,8
37,10,-21
33,-29,25
45,5,-6
23,-6,-5
46,5,-16
23,5,5
28,7,-6
36,-13,8
72,-32,27
27,12,-21
29,-5,10
23,0,-3
27,-5,7
36,9,-10
33,5,-2
21,-18,3
30,-9,-12
31,11,-10
25,12,-1
34,13,-24
39,-4,-3
21,-9,3
20,-9,-4
32,4,-9
27,-6,14
31,9,-16
37,10,-12
41,0,3
33,0,-4
23,-14,4
33,-13,-5
25,-1,0
28,-5,-6
32,0,-9
32,-10,3
46,1,-6
41,6,1
34,2,-1
40,-19,24
49,-2,17
19,30,-43
-8,28,-18
31,-9,0
27,-11,-20
73,-6,40
31,14,-22
15,-10,-12
31,2,1
42,2,7
56,13,-10
24,15,-19
41,3,3
56,-16,10
23,20,-10
37,8,-14
25,-1,7
32,11,-18
43,-7,13
19,2,14
13,-8,-2
27,-18,-1
37,3,13
30,19,-18
32,-7,15
11,11,7
47,2,-19
60,-7,-11
10,-7,13
58,-13,7
-3,-3,2
37,2,-7
45,7,-8
-3,15,-16
69,4,10
28,20,-41
30,-20,24
25,9,-18
36,6,-30
40,-4,11
20,-1,-5
28,-11,-2
27,-12,5
33,6,-2
47,18,-17
48,8,-4
27,16,-7
46,-11,17
45,-9,12
25,1,-7
40,-5,0
30,-4,11
11,12,5
51,-8,2
33,5,-12
9,4,15
40,-3,2
42,-3,-20
10,4,7
27,1,18
51,-1,-31
34,-11,4
41,-5,17
30,4,-11
24,-11,7
11,13,-23
34,-3,6
30,11,6
21,-7,-3
25,2,-4
31,9,-7
41,-10,11
18,-12,11
16,1,7
39,-6,7
23,8,0
32,-6,3
48,9,-10
23,-4,7
21,8,-4
46,-26,28
56,-26,26
21,24,-39
-6,5,-13
51,-22,26
52,-8,17
9,14,-6
-7,1,16
57,-19,5
53,-5,-4
29,15,-16
-13,16,2
80,-12,-13
61,-23,29
3,11,-8
29,-7,9
20,-1,6
42,-29,20
40,13,-9
19,-19,46
-23,-6,15
4,11,-25
100,-3,7
56,29,-34
25,-4,-43
11,5,5
41,-1,12
38,-12,28
47,16,1
55,-7,9
12,5,5
26,12,-16
54,-27,6
23,21,8
46,7,1
56,5,-13
6,4,-26
62,-23,36
50,-24,-6
3,-6,24
26,4,7
44,-12,7
33,8,-11
48,6,-17
-4,30,-36
43,-22,34
59,-17,17
57,9,14
20,32,-16
5,6,-22
1,8,5
61,-24,35
63,8,-21
23,-4,2
36,-15,16
12,3,-11
47,-16,32
10,-1,9
3,-9,-2
41,-8,16
38,0,-3
18,-1,5
28,0,9
23,16,-10
55,-23,38
11,15,-1
28,11,-21
44,1,-3
44,-10,23
34,15,-6
40,-2,-10
29,-15,18
23,13,-20
31,10,-8
44,7,9
49,29,-26
23,-2,5
45,-12,29
25,21,-11
17,-13,13
41,15,4
