ax,ay,az
25,-3,-4
32,3,7
31,0,1
42,7,-8
32,14,-4
29,8,-10
38,-10,19
32,-15,18
16,-2,-5
19,-2,-1
29,-3,1
19,-5,4
23,-5,3
24,-4,-14
38,-11,8
36,2,-2
29,-3,-1
30,0,9
31,17,-11
34,14,-8
41,6,-4
37,-2,0
35,6,5
42,10,-10
35,4,3
21,-1,3
34,5,-5
28,11,0
33,-7,3
31,-7,9
19,-4,6
25,-4,-6
26,-15,12
20,-9,6
21,-10,0
24,-10,8
35,-7,8
35,10,-15
18,-11,11
35,-1,4
53,4,-9
29,1,-4
31,9,8
21,10,-5
58,-8,14
27,20,-10
11,6,2
51,9,8
40,3,-7
34,-6,-8
36,-11,7
21,-6,14
30,3,-16
44,-2,0
12,6,7
13,-12,10
39,-9,1
20,-10,5
18,-2,-11
39,-15,26
28,-10,7
40,-1,4
57,1,5
27,-3,14
12,6,16
32,2,-9
13,-3,-6
36,-14,6
5,-10,-12
71,-24,12
47,-5,16
31,11,-3
34,11,-24
36,-1,16
10,7,-24
42,-14,23
46,17,-9
32,1,-1
13,-16,23
19,-7,-2
36,-15,6
44,-3,-2
36,9,9
23,2,6
27,2,-10
39,4,2
38,10,-2
29,3,1
25,-12,13
34,-4,-4
30,-1,4
32,-2,3
17,-12,3
22,-14,2
33,1,-6
36,1,-5
36,5,0
24,-7,7
42,3,-2
45,6,7
29,0,-2
20,-2,-2
39,5,-1
39,3,-4
23,-4,13
33,-7,1
2,-6,-3
28,2,-3
39,6,-6
28,1,-9
28,-3,-6
39,-8,11
19,10,-12
31,6,3
32,1,-1
23,-7,1
14,-1,6
37,7,-6
42,9,-8
36,5,-6
32,-9,-1
26,-4,2
17,-12,17
16,-1,-12
37,4,-18
33,-11,11
32,-3,20
35,16,-15
51,10,-17
28,-3,0
31,2,4
40,4,-14
30,-1,-9
16,-8,11
22,1,-11
43,2,-5
43,7,-3
35,7,-1
25,-3,10
28,4,-11
41,-11,-6
34,2,2
22,-2,-1
19,-8,1
36,3,-14
29,-2,10
23,-3,14
37,8,-4
36,9,-3
27,-4,6
30,-1,0
41,8,-1
33,15,-13
33,7,-5
33,3,9
29,1,-7
39,-5,-6
44,3,-9
29,11,3
29,8,3
42,13,-15
37,8,-11
34,3,6
34,1,7
41,6,-18
34,3,-9
29,12,1
30,13,-4
34,3,3
27,2,1
30,-9,9
32,-11,6
31,-7,0
28,-3,7
36,1,-12
36,8,-22
31,7,9
19,13,-1
39,2,-3
32,-5,10
28,-5,7
29,-6,-8
40,-2,3
26,12,0
21,-5,5
44,1,0
32,-4,0
13,-14,12
19,-5,2
47,1,-8
37,-2,17
15,4,6
41,1,-12
36,0,-16
24,6,-1
17,-4,16
35,-8,-6
48,-2,-19
29,8,6
17,2,11
35,-8,-11
37,-11,-1
25,-5,9
22,7,4
32,-3,5
27,-7,1
40,-5,-14
33,-8,7
20,8,3
29,6,6
42,-3,-8
34,-9,4
24,-5,-5
24,4,5
26,-7,12
30,-3,-11
35,-5,-6
32,-1,3
34,3,3
30,-10,-1
28,-5,11
35,2,-6
34,-5,-6
20,4,4
34,-5,-12
31,5,-1
33,-4,2
32,-1,-10
31,-7,9
26,6,3
38,3,-3
33,-10,-1
19,-7,3
28,5,-7
36,1,-8
22,4,3
21,3,-1
32,3,0
35,-2,0
19,8,-7
45,14,-21
10,4,14
39,-3,11
43,7,-5
26,16,-3
38,2,6
26,-9,-5
29,-10,17
26,6,1
56,3,-2
34,1,-2
37,5,2
33,2,2
49,12,-18
32,-5,17
17,-3,11
24,-8,6
52,-13,-2
30,-1,0
16,-2,-1
18,-8,31
34,8,-20
19,-5,11
13,-9,-1
38,-10,2
32,3,-13
42,1,-15
36,0,0
32,15,-1
32,-1,-1
39,-6,5
16,2,-4
10,-11,10
20,-7,-3
26,-9,7
39,5,2
49,18,-10
28,-18,34
21,-5,28
40,9,-39
33,-24,10
39,6,1
18,8,2
52,6,0
55,4,24
4,21,14
25,14,-34
41,-7,18
15,11,-11
29,-7,10
51,-1,-5
37,11,-19
19,-3,4
32,-8,22
39,-3,6
30,7,15
36,13,-12
34,0,-6
25,-27,46
18,13,-7
37,-1,2
38,-14,20
16,-16,4
46,1,-11
45,-3,2
13,-9,4
27,-11,13
37,1,5
30,19,-23
41,-7,3
46,5,0
28,3,2
33,11,-10
58,9,-10
19,-10,12
35,7,4
30,-12,4
43,5,-3
31,-4,13
25,15,-10
33,-3,8
25,1,5
29,3,6
31,11,-7
43,5,-3
29,5,9
37,5,-4
25,2,9
19,-4,16
42,1,9
22,-9,15
31,6,4
27,2,-14
47,0,3
18,-1,3
8,0,18
32,6,0
41,5,-9
34,-10,15
25,7,-13
21,-10,18
26,7,6
44,-4,15
53,3,1
26,1,2
35,-6,19
33,2,-10
31,-10,3
25,1,15
36,13,-7
23,-6,8
28,-8,14
42,-1,13
18,-3,0
38,1,6
26,9,1
26,-7,19
