ax,ay,az
10,-5,21
20,8,-16
43,8,-3
28,-4,17
22,0,-11
34,10,-14
32,8,2
27,-2,12
35,2,1
38,1,3
23,2,8
34,-5,-5
42,-6,3
37,2,4
21,6,2
27,6,1
33,10,-13
35,7,-7
26,1,8
34,1,-4
17,1,8
24,0,5
43,5,-1
48,7,-15
11,11,2
16,5,9
53,-5,0
49,-8,3
17,-2,15
28,-2,0
48,2,-19
31,3,7
22,11,-4
32,10,-3
19,12,-4
19,12,-2
38,-3,0
35,-7,6
39,-1,-3
34,4,0
18,6,0
20,8,1
30,2,-2
36,1,0
36,-7,8
28,-3,5
41,-4,7
42,-2,12
32,7,-4
40,3,-1
29,12,-8
32,11,-2
20,13,-7
22,10,-4
37,7,-2
24,10,-10
32,0,-1
22,8,0
40,4,-2
25,15,-8
33,7,3
28,12,-7
40,0,2
28,3,6
33,-12,12
38,-4,-2
38,-6,12
41,-6,2
37,0,2
32,7,-5
31,6,0
29,-1,6
29,1,1
40,-1,1
33,8,2
25,4,0
23,-3,7
22,4,-4
37,-10,0
36,-8,8
31,-6,10
32,-3,2
29,1,-2
32,2,-1
31,8,3
33,10,-3
29,2,7
31,1,3
35,5,-4
30,2,0
28,1,-2
34,2,1
38,-2,12
30,-2,0
21,8,-10
31,1,3
36,6,2
38,-1,4
31,1,-3
23,4,0
30,1,-3
35,2,-1
32,1,1
28,5,-1
31,5,2
37,-5,10
31,3,0
27,14,-7
30,1,3
29,4,-4
27,6,-4
32,4,6
35,-4,1
33,-2,-2
30,10,-1
27,11,-7
25,-2,-4
37,-2,9
40,0,3
29,-1,-1
33,7,-2
28,13,-4
20,6,-3
32,-1,1
32,4,-1
25,8,-5
27,10,-5
29,-1,5
27,3,1
29,-5,3
34,0,4
29,2,-2
28,5,-1
26,5,-4
28,8,-3
28,2,0
29,3,-1
29,6,-1
29,2,1
27,5,-2
29,-2,3
29,-1,-2
34,0,4
34,0,1
30,2,2
33,1,1
28,5,-1
27,5,-3
29,3,-1
30,1,2
34,0,4
32,0,1
22,6,-4
24,4,-2
38,1,6
35,2,4
26,3,-4
30,4,-4
32,0,4
29,0,1
35,4,-2
33,0,1
27,9,-2
27,3,-2
30,3,0
31,1,3
31,2,1
31,1,2
31,4,1
28,7,-2
28,6,-2
29,0,3
37,-1,1
31,4,3
33,1,1
27,4,0
30,3,-2
31,3,2
31,-2,2
34,0,-1
30,4,1
29,0,0
29,3,0
30,1,0
31,1,3
30,2,7
29,2,6
31,0,4
34,0,2
29,3,1
28,4,-1
35,3,4
32,5,5
31,0,6
30,-2,4
25,5,-2
32,0,2
33,0,3
31,0,6
30,3,4
31,5,-3
