ax,ay,az
34,1,-6
30,9,-11
38,-5,-5
18,-1,-3
28,4,-32
36,-1,-11
32,-7,19
36,10,-15
50,0,3
30,2,-4
17,-2,-4
30,0,-9
53,-2,-19
22,6,-7
28,-5,4
41,6,-8
32,7,-14
22,0,-3
25,7,-15
35,1,-4
38,-5,-9
25,0,-6
24,12,-8
38,13,-7
14,1,8
27,-12,-18
45,-5,-12
26,-5,8
28,-3,-13
25,8,1
34,3,5
25,-3,-16
30,6,-3
37,-2,-4
26,3,-5
40,-2,-13
32,4,3
25,2,-11
24,9,-3
32,-1,-13
27,-1,0
23,-2,3
20,-3,1
35,3,-11
43,10,-13
19,8,5
28,-5,-4
35,-1,-15
29,-4,-3
28,4,-1
35,6,-14
34,-7,-3
25,1,6
24,12,-6
33,-1,-4
31,-6,-1
24,-3,6
29,-4,0
33,10,-23
33,6,-9
37,4,-3
37,2,-4
32,4,-2
25,3,-8
29,-6,-2
25,-4,4
26,2,-5
22,8,-11
23,5,-15
26,3,-9
34,-2,-3
27,-5,3
28,-4,-2
43,-2,-7
33,-3,-2
26,9,-10
34,-1,-3
26,5,-9
28,0,-7
21,2,-9
26,3,-12
28,-7,-7
26,2,-8
21,4,-13
28,8,-12
26,3,-11
30,10,-11
28,9,-11
28,1,3
31,4,-10
44,-4,-5
29,-6,9
16,-2,-3
34,1,-7
34,2,-12
23,7,-12
37,0,-5
37,-3,0
38,-1,-2
34,-2,4
25,9,-11
24,5,-9
40,0,-5
37,0,2
25,13,-22
26,9,-12
30,-1,-3
32,1,-2
27,5,-11
37,-5,-2
31,4,-5
23,5,-10
31,0,-4
33,-5,-2
24,3,-12
35,-8,2
36,0,-6
25,3,-10
24,1,-12
35,3,0
34,-1,-5
31,6,-8
35,3,-5
31,1,-8
35,-2,-2
31,0,-2
36,2,-2
28,-1,-6
30,6,-6
26,4,-11
28,4,-9
28,1,-10
28,-2,-8
35,-2,-5
29,1,-2
26,4,-10
27,0,-4
31,-6,2
33,-2,-3
31,-7,0
34,-5,1
33,3,-2
32,2,-3
25,5,-7
27,5,-5
26,-1,-7
31,-1,-3
31,4,-4
31,-3,-1
31,1,-2
37,4,0
33,1,-1
33,2,-3
35,1,-1
29,3,-3
31,3,-5
29,0,-6
30,1,-6
31,-1,0
29,2,-5
34,-1,-1
24,1,-1
32,-4,1
28,-4,-3
32,-2,4
32,-3,4
32,2,-2
35,0,0
28,2,-7
28,2,-3
30,3,-5
29,0,-3
26,1,-4
28,2,-5
34,-2,1
32,0,1
34,5,0
36,1,-1
29,1,-5
30,2,-6
29,1,-5
31,-2,-1
27,3,-4
32,2,0
35,1,-6
30,1,-6
28,1,-3
29,2,-2
30,5,-4
30,3,-3
28,2,-3
34,4,-3
34,2,0
31,3,-3
30,4,-2
29,3,-4
28,1,-3
27,2,-4
30,0,-5
33,-1,-1
33,4,-2
30,3,-2
31,1,-2
28,1,-3
29,2,-5
28,1,-2
27,1,-5
33,-1,-2
32,-2,-1
33,1,-5
34,1,-2
29,2,-3
29,-1,0
30,1,-5
30,-1,-1
27,2,-5
33,0,0
32,1,0
33,0,-1
33,2,-2
32,-1,-1
30,-4,1
27,1,-4
29,-1,-3
29,-3,1
29,-2,1
35,-1,0
35,-1,-3
30,-4,2
31,-3,1
30,0,-3
