ax,ay,az
33,2,9
34,2,3
44,-5,5
43,-8,13
33,4,3
39,2,0
30,3,-3
31,7,-3
32,-2,6
35,2,1
47,-7,8
36,-13,14
39,-5,6
38,-11,-2
38,8,-13
28,2,8
22,9,-11
45,6,4
29,6,2
19,0,-11
17,10,-3
25,3,-4
31,1,-4
25,8,-9
19,0,-5
23,9,-3
27,4,3
17,6,-6
26,10,-11
31,5,-4
21,6,0
30,6,-11
26,6,-5
18,6,0
24,5,-4
32,-1,-10
34,-4,-3
35,-4,9
30,-5,10
34,-8,7
25,1,-1
26,6,-6
29,-2,-1
31,0,-1
37,-9,1
37,-3,10
35,-4,4
39,-5,-9
28,9,-13
15,12,-1
25,1,9
32,0,0
34,-8,4
35,-4,0
24,3,-8
25,-1,-5
32,-7,4
31,-13,5
27,1,0
28,2,-2
38,-6,2
36,-7,8
32,2,2
30,-1,-1
33,-3,-2
26,3,-4
27,-4,2
31,0,-1
29,-3,3
28,-3,0
29,-8,3
30,3,-10
28,7,-5
33,-2,6
30,2,-1
28,-1,1
41,-9,5
33,-5,2
21,2,-7
26,-3,-2
28,7,-4
37,-7,4
28,-6,2
37,2,-1
38,-2,1
32,6,4
22,0,-3
29,5,-7
30,0,-5
25,-3,-1
23,-5,2
37,-2,-1
39,-5,-3
34,-5,-5
24,6,-8
29,0,-5
20,1,-5
28,-3,-5
23,-4,0
30,-5,-4
35,-4,3
31,-2,-5
29,0,-5
32,-1,-1
30,5,-2
30,-6,5
42,-6,-2
30,6,-3
24,4,-9
25,-1,-6
21,4,-9
25,2,-6
41,-2,5
38,-3,2
30,-5,-4
28,-4,-4
28,5,-7
28,2,-5
35,-1,-2
38,-2,1
32,-4,0
36,-3,1
29,4,-8
25,1,-1
28,0,-3
32,-1,-5
34,0,3
32,-3,-1
31,-6,-2
30,1,-3
39,1,-8
28,-2,-3
33,3,-6
36,1,-4
29,-6,-2
25,-7,0
27,3,-5
26,3,-7
32,-4,0
33,2,1
33,-1,5
31,-6,3
27,-1,2
25,1,1
27,1,0
34,-3,5
34,-2,3
34,-2,4
32,-6,1
30,-4,-2
31,0,-1
28,2,0
27,0,-1
32,-1,1
32,-1,1
30,-2,4
31,1,3
29,4,-1
28,1,1
31,-1,4
32,2,2
31,2,4
30,-1,5
29,3,3
28,5,-1
31,0,4
32,0,4
31,1,5
30,3,4
27,5,2
28,5,2
30,1,2
31,0,1
32,4,2
33,2,-1
30,-1,0
30,2,0
27,2,0
33,1,3
33,4,3
29,1,3
31,0,4
27,4,1
31,2,2
32,2,5
31,3,4
30,2,6
31,2,5
30,4,3
30,4,5
28,0,4
31,0,4
31,4,5
31,1,3
31,1,5
32,2,2
29,0,5
28,-1,3
32,2,2
32,4,4
32,1,5
