ax,ay,az
34,-7,-3
10,7,6
74,9,-14
66,1,-5
-10,18,-8
11,-8,-12
38,-5,6
45,-6,22
15,14,-22
38,-8,24
-9,6,-8
41,-1,-7
19,-13,19
30,16,-23
30,-12,-2
19,4,-7
11,-3,14
29,15,-36
51,-7,13
8,11,4
16,-9,-4
55,17,-9
6,-2,-9
32,2,17
43,-6,12
32,4,-8
39,-3,19
32,-2,-7
39,9,-15
19,18,6
23,-9,7
25,6,-3
39,11,-6
39,-3,5
22,-2,8
33,3,-17
45,12,-11
28,11,-12
23,2,1
31,-5,0
33,-4,-1
26,12,-7
31,14,-3
41,3,-7
29,7,0
26,5,0
35,0,-10
38,10,-12
42,18,-12
37,5,8
32,7,3
44,12,-21
29,9,-21
27,14,0
32,1,12
21,-3,11
24,4,0
20,-2,11
45,-5,-15
42,-3,8
13,2,13
23,11,-16
39,-4,-6
26,0,4
19,5,-6
48,4,-16
28,5,-4
13,11,-4
34,-3,0
28,10,3
30,7,-10
22,-4,0
40,6,-1
30,-4,0
31,1,-5
28,-4,4
35,8,-17
33,4,-6
34,1,-7
32,4,7
27,3,-11
41,-2,-3
29,-5,9
32,3,-6
34,0,-3
40,6,-2
33,6,-11
21,7,-11
33,11,-5
31,7,4
32,10,-12
33,6,-5
32,-1,3
37,3,-1
25,5,0
30,-5,11
35,5,-7
30,1,-7
31,-7,9
33,-4,2
25,9,-5
28,6,-10
33,-4,3
29,4,-2
35,14,-19
35,11,-10
26,10,-2
33,8,-9
32,5,2
28,4,-8
50,-3,3
31,2,7
25,4,-8
39,9,-8
29,-1,6
42,-1,-9
41,0,4
26,8,-2
27,3,-14
38,-2,7
44,-9,15
23,0,-11
33,-2,-5
37,-11,7
9,7,-3
23,2,-7
56,7,-10
41,7,-5
25,9,-4
23,15,-11
32,12,-8
30,7,-3
38,-1,1
32,9,-4
29,-4,-4
35,-6,-4
35,1,-9
24,4,-6
29,4,2
33,3,0
25,0,-9
22,8,-14
25,3,-6
27,-2,-9
42,-5,10
36,-2,6
21,7,-10
26,8,-12
37,0,1
43,-3,-2
25,3,-15
24,8,-5
19,4,-6
31,5,-11
33,6,-4
24,6,-3
21,4,-8
26,10,-11
36,6,-7
24,7,-6
28,8,-9
37,4,-3
33,2,-3
33,0,-2
38,-5,-2
34,4,-4
35,3,-3
23,7,-8
28,5,-10
32,-2,-4
33,0,0
28,5,-4
26,7,-7
32,2,-7
31,3,-8
31,2,-3
28,4,-5
31,2,-5
27,-1,-2
33,3,-3
35,2,-2
33,1,-1
32,5,0
30,4,-4
30,2,-4
28,6,-4
