ax,ay,az
27,20,9
25,16,1
14,7,-11
22,-3,29
32,-3,10
22,-7,6
50,-16,13
28,12,-8
-1,16,-13
72,-18,13
34,-14,29
32,11,-16
18,5,18
34,13,-4
10,21,-12
20,4,-25
44,11,18
34,-3,-18
37,-9,33
21,19,-11
28,1,3
28,-5,22
30,-2,4
26,-13,11
33,-15,12
44,2,-12
26,7,-12
40,0,12
8,18,-11
23,7,-15
54,3,20
14,5,-4
32,4,18
44,9,6
16,13,2
25,17,1
15,-7,14
19,0,-24
47,-8,30
62,-4,-15
21,5,1
37,9,10
26,-10,17
31,4,-1
31,-6,30
22,8,-18
75,1,13
50,15,24
19,1,-2
7,18,-6
38,19,10
30,22,-44
80,-9,20
37,-13,27
16,12,-38
14,1,-25
51,5,23
39,31,24
10,7,-30
46,11,-3
22,1,36
5,-9,5
34,17,5
44,26,37
9,10,-40
55,1,-3
27,-4,26
-1,-13,-10
27,5,-16
15,6,23
6,4,-20
48,-9,-17
6,-18,33
22,6,6
38,-4,-11
12,-4,-3
3,-8,34
10,15,-29
34,20,-5
23,34,-8
34,12,-26
51,9,-13
21,-6,20
35,-17,14
41,-4,-13
41,-3,22
37,7,4
15,7,-10
46,9,-3
25,18,-6
20,-1,-29
48,-27,31
71,10,6
29,18,-16
21,23,-24
59,21,5
-3,33,-8
41,7,10
71,5,14
26,-3,7
21,-6,-1
53,8,-17
26,7,17
46,-10,21
30,1,-13
-13,-19,20
80,-24,31
16,-1,-2
16,-5,10
27,-5,10
30,15,-28
19,-10,-8
18,-20,14
28,-2,6
33,-6,-25
55,-21,36
11,-31,25
32,-2,1
34,19,-9
31,3,30
31,16,-37
5,25,-25
48,15,28
49,17,2
18,-8,3
58,-2,-4
36,4,-7
10,6,-2
55,15,-15
40,13,17
4,-10,22
58,-3,3
3,-22,26
40,-26,-8
45,-27,10
41,-27,43
42,-7,-25
-1,10,8
29,3,26
65,14,0
14,18,16
35,13,-20
24,-9,-12
55,-1,10
44,11,3
18,-1,-27
9,-5,30
7,10,-7
69,2,5
36,35,-4
32,13,-16
27,-3,15
45,9,-7
41,2,16
35,17,1
35,15,-7
39,10,-8
44,13,10
22,8,6
43,-5,6
40,-5,6
17,-6,6
29,-7,-15
38,-1,3
24,9,-1
33,-3,6
18,2,-1
10,-3,13
25,-1,2
33,-6,-3
32,-5,6
32,13,7
46,13,-1
33,13,6
29,6,14
24,-4,5
34,-20,-1
31,-22,8
32,-20,24
21,-15,13
32,4,-1
37,17,5
33,19,6
35,25,-3
35,13,-4
29,10,4
30,-12,1
31,-23,11
36,-21,11
34,-19,13
38,5,-7
31,15,5
34,20,-7
32,24,5
28,8,8
26,-3,9
17,-13,9
28,-26,3
34,-13,4
21,-18,25
24,17,-20
35,15,-2
28,21,5
39,19,-8
31,17,2
27,4,2
33,-22,5
18,-26,17
19,-16,9
35,-7,4
33,18,15
33,11,10
33,11,3
39,-12,19
27,-14,4
10,-22,-2
24,-9,-4
34,-4,11
34,-7,7
35,18,0
35,14,1
39,11,-3
14,8,1
-13,-9,9
54,-3,-8
13,-5,-9
29,2,0
57,-7,-2
10,-22,15
38,-17,23
54,8,-4
47,25,5
39,7,8
24,17,-7
35,21,10
33,0,21
47,2,13
20,-16,3
4,-13,-2
20,-2,-10
19,-5,17
41,-8,5
15,-21,11
32,-7,-14
42,4,6
33,19,10
39,23,-10
29,10,-5
18,-9,20
33,2,-1
28,-15,18
21,-20,11
25,-11,-3
29,9,-4
35,4,2
25,-19,9
28,1,9
29,8,13
43,18,3
31,2,4
29,13,5
41,19,7
31,2,10
24,6,4
16,-3,4
37,2,1
29,0,7
8,-7,16
21,-9,-11
34,-1,5
41,-5,10
