ax,ay,az
58,17,-29
37,3,18
11,11,16
25,9,-26
45,-8,-9
24,6,1
17,19,-19
16,10,21
40,6,-4
55,3,-18
0,-6,18
44,-3,3
27,3,-6
23,-7,13
39,-8,7
24,1,5
45,-17,28
17,-3,-1
31,-34,12
20,7,-1
38,-8,5
28,2,4
21,5,-11
31,-6,6
29,-4,-8
45,-1,-6
20,2,-2
28,9,-10
27,-8,17
17,12,-11
44,6,19
41,4,0
19,10,-12
37,-7,4
44,14,-13
26,-8,9
33,13,0
26,-11,13
70,-22,19
20,11,16
35,3,-1
58,9,18
30,10,1
23,-5,17
38,6,-6
14,-6,21
34,9,-18
53,0,15
23,10,-14
39,-14,30
20,7,-20
18,7,-5
35,-5,9
30,-6,-1
31,5,2
25,-9,8
29,-10,11
44,13,-1
32,6,-12
34,-4,17
28,6,-4
24,2,-2
48,1,3
13,5,0
27,4,-10
34,-1,20
24,1,-11
23,5,24
32,-9,1
47,10,4
23,8,8
20,-17,5
31,10,11
34,11,-1
13,25,-5
33,10,1
28,0,8
37,-8,3
25,-1,4
40,2,-4
51,-2,0
22,1,3
24,19,12
37,1,-12
35,3,1
32,-3,22
22,5,-12
53,7,8
39,-6,34
18,-12,-10
49,10,-9
23,8,17
34,-6,-16
39,-10,27
31,15,-10
27,-1,-6
31,-3,11
29,-4,-1
18,-6,-8
31,-8,-3
26,1,3
38,-4,11
28,2,-4
17,5,-7
47,8,6
27,4,3
15,-9,10
47,4,9
11,-19,-2
54,12,5
39,14,21
35,-25,-3
61,-1,4
36,-10,6
7,5,-13
51,12,32
51,0,-2
28,-10,-13
50,13,6
7,9,4
17,-16,-11
46,10,-16
33,6,0
21,-4,21
45,-1,0
28,2,-10
37,1,3
38,-5,16
33,-11,-6
37,-10,7
27,-2,-6
25,13,-27
43,6,22
21,4,3
22,-9,-5
31,3,-19
22,6,12
18,-14,-4
49,-2,-1
26,9,-26
10,-1,-1
31,9,3
38,3,2
17,-13,4
39,-10,10
35,3,-16
27,5,9
30,4,3
32,-7,-5
16,-16,19
25,0,-17
34,-1,-29
40,10,21
34,4,23
46,7,0
42,-14,6
43,-16,2
46,10,-11
47,-6,6
16,-15,19
2,-6,13
53,12,-28
51,-5,8
20,-4,16
14,1,2
46,5,-27
19,0,5
17,12,12
20,20,10
48,-9,2
40,-7,13
33,-11,13
37,15,-26
50,-5,4
24,-9,25
3,-8,-6
31,-2,-10
47,6,23
3,-4,19
28,-21,0
60,4,-7
12,15,-19
-7,10,-1
50,-5,-3
43,-2,-13
13,4,6
33,10,4
21,8,-4
23,13,-6
34,9,21
45,12,2
33,8,-14
25,-11,14
34,-7,7
42,3,9
32,-8,6
30,-18,20
46,7,-11
38,-9,9
51,-2,-11
27,14,-7
22,3,-4
52,-5,-3
41,-9,11
12,2,8
21,-11,8
58,-13,5
49,14,15
