ax,ay,az
30,5,8
30,-1,6
36,0,-1
25,3,6
36,-2,-3
31,-1,8
38,1,8
29,-5,-1
16,3,11
44,-7,17
43,-5,-5
20,12,7
22,2,-11
36,-6,1
45,0,10
24,0,-4
22,13,-9
40,-2,-8
30,-1,8
37,0,22
41,2,-8
9,6,8
42,-1,-14
35,1,3
35,-1,17
17,0,-14
17,9,0
49,-3,9
33,5,0
21,11,4
24,2,-6
32,-1,12
50,-2,-6
14,-1,5
12,16,-3
35,-15,5
35,7,2
38,-8,-3
12,6,-1
20,3,9
30,4,-7
35,-1,21
29,6,-10
18,7,-1
46,-4,1
28,6,5
36,14,-12
16,6,-8
47,5,0
42,-5,-3
24,3,22
35,8,-9
43,-14,-3
36,8,23
38,-4,-13
22,5,1
34,0,-6
20,-10,15
29,1,5
28,9,-3
24,13,-9
40,-1,-2
43,11,2
42,-1,12
14,0,-6
14,10,-3
52,-14,18
30,7,0
24,9,-11
37,-13,-2
31,-1,20
42,-3,2
20,14,-17
28,2,19
44,-8,1
32,4,7
31,-6,10
15,-4,2
20,4,5
58,-8,4
27,2,11
3,10,7
28,-1,-8
41,-3,10
56,-8,20
18,11,-10
12,14,-5
47,-15,11
38,-15,14
17,6,18
41,1,-19
9,5,-3
32,9,-1
53,-7,5
26,16,-4
29,17,-2
18,3,-8
35,-9,2
55,0,9
29,0,-6
13,7,4
24,1,6
45,-15,1
20,1,6
31,-9,17
26,3,-19
40,-1,4
47,-1,25
41,-1,-21
18,16,-2
16,6,5
47,-14,0
37,-9,6
21,2,22
28,7,-19
24,-3,-6
20,-5,12
50,-6,14
37,3,-19
11,13,-4
20,8,6
43,-2,-8
46,-4,0
29,10,19
23,13,-9
28,1,-11
33,-3,11
33,-9,23
30,-2,-7
17,13,-17
17,3,7
34,-5,20
37,-8,-7
12,13,7
18,16,-3
31,7,-26
50,-8,9
40,-1,18
34,11,-5
27,3,-6
6,8,7
24,13,-4
67,-22,20
21,-1,-8
4,11,-12
24,0,11
52,-11,2
30,-13,13
28,6,-7
31,8,7
25,7,-11
50,-2,-4
16,1,2
36,7,12
51,-8,-1
34,10,-12
12,19,-1
37,-7,17
54,-11,25
34,-12,-6
17,12,-12
14,7,-2
27,-6,12
49,-11,-10
25,5,0
11,13,3
20,5,4
44,-2,-3
44,-12,-4
24,0,20
38,0,12
40,6,-13
30,4,-11
24,-5,4
26,6,18
23,-2,12
48,-7,-13
40,5,-4
19,-5,14
45,-3,10
36,-2,-12
25,-3,1
47,-4,-4
27,-8,10
25,-3,2
29,4,-5
31,0,-5
41,-6,-3
10,2,18
35,-9,1
34,-2,-10
18,6,7
30,7,0
34,2,-21
38,5,6
23,-2,-1
26,3,2
51,0,-14
40,-2,-7
6,3,25
27,-6,-25
38,1,-5
23,-1,18
20,1,-5
51,8,-22
48,-6,-9
29,2,14
14,-3,-9
63,4,-11
44,-10,36
19,-9,7
51,-11,-5
27,4,-7
30,-7,12
27,2,1
40,-4,-22
31,-2,8
21,-2,6
25,-3,-11
45,-3,-18
39,5,-3
13,0,21
34,-4,-10
31,6,-2
20,1,8
24,-7,-10
28,10,15
13,-2,1
15,4,-24
54,9,-2
42,-6,15
13,-4,5
21,-13,8
49,-3,4
30,4,3
32,2,-7
31,5,8
41,-12,0
43,6,-8
27,-14,8
37,-1,-3
31,6,-1
28,1,-6
28,4,6
36,-3,-5
40,9,-13
16,2,13
38,-5,-4
37,3,10
28,8,-1
20,4,2
40,-7,-1
31,4,-4
16,-3,3
22,2,13
27,4,1
27,6,-14
13,5,4
37,-5,-16
32,4,-5
41,-2,3
34,-1,-9
21,-1,9
37,-4,1
20,9,-5
28,-8,12
27,0,6
29,2,-5
30,14,-6
20,1,-7
39,-21,11
42,-7,-1
44,0,-11
13,6,26
34,-7,-17
43,1,-1
33,9,-8
43,12,6
30,-3,-24
26,10,7
27,-26,12
26,3,-12
56,-12,24
51,1,-24
21,-9,14
40,-9,-9
35,6,9
29,-5,0
33,6,2
32,-4,-3
26,-6,-9
26,-16,10
39,-10,-5
33,10,-1
19,11,-4
50,6,-10
29,12,-5
36,-3,4
13,-5,5
40,-4,3
39,8,-1
47,4,-27
8,12,25
21,-14,-16
46,-15,7
29,2,25
29,-9,-9
31,7,5
30,1,-16
13,3,17
13,-11,-2
52,-11,6
34,-4,15
27,-6,-3
39,-14,5
