ax,ay,az
7,6,8
65,11,1
51,1,-2
21,0,38
40,16,-8
35,-8,-11
15,7,9
40,6,10
28,-13,2
25,5,-3
45,9,3
26,1,-11
45,8,-18
25,-4,40
40,4,-4
52,-9,-5
23,7,22
21,-9,15
42,4,-9
38,2,12
28,0,25
34,6,-22
44,3,-13
45,-9,38
32,-2,18
42,-1,-17
43,6,20
23,4,23
27,3,-13
31,4,5
26,4,8
32,5,-6
29,-1,10
27,-9,38
18,8,-13
36,-3,-19
25,7,23
19,12,9
35,-4,-4
45,10,-8
37,-15,36
33,13,-14
37,-1,14
46,-1,19
17,0,-11
31,2,6
20,9,14
30,1,5
27,-4,2
36,-5,22
20,20,-22
39,2,-3
27,2,17
22,-4,25
35,9,-17
64,-6,5
-9,1,-7
15,12,-41
60,-5,18
17,4,-10
28,2,-9
36,3,13
27,7,-13
7,8,5
43,5,16
30,-1,-6
15,2,7
50,5,-21
26,-8,6
25,3,1
31,10,-9
47,-4,22
20,-1,1
26,1,2
48,-7,-9
34,-3,-1
39,1,1
11,3,11
47,-2,-7
33,10,-12
24,7,11
24,-5,3
20,0,8
29,-3,-7
48,-7,1
20,-1,3
26,3,-6
38,0,9
33,2,1
40,2,-6
46,-12,19
23,15,-35
-2,10,-12
40,11,17
40,1,-14
28,0,4
21,8,-4
20,7,-22
34,9,0
18,3,3
24,5,-15
27,12,-15
30,8,3
23,7,-2
38,9,-20
36,3,1
15,-2,4
21,2,-15
51,-2,-5
21,-2,9
23,-4,-5
34,-3,-1
52,3,-8
42,1,-1
18,5,11
19,5,-13
50,2,-23
35,-1,9
10,-4,1
23,-4,24
45,3,-24
19,19,-20
16,6,-9
26,13,-15
51,-3,-10
16,-8,5
19,1,4
24,11,-7
38,0,3
37,4,-8
23,2,-13
13,5,10
53,-7,1
38,0,12
17,10,-3
33,19,-22
51,4,-10
12,-5,20
17,4,-26
33,-10,16
34,11,-7
17,-7,-1
39,5,-3
34,3,1
31,-10,-15
31,-3,6
25,-3,14
30,5,-13
44,9,-13
13,12,1
27,5,-17
67,9,-11
35,0,28
14,-7,-6
38,-11,-6
30,1,20
24,-7,10
40,-4,-16
56,-13,3
29,-7,3
26,5,-18
41,4,-4
35,-10,10
31,0,-18
19,5,-2
20,-7,6
28,-5,11
24,-2,-3
36,7,3
31,-1,21
50,11,-18
35,-4,-1
31,-13,-5
20,-12,10
17,7,-2
38,2,-18
43,-8,1
49,-10,3
16,20,4
19,-6,17
40,0,-13
28,-5,-7
51,-11,2
28,-26,16
24,8,-11
40,-1,0
23,13,-9
15,14,-11
34,6,5
15,4,2
61,-24,18
72,-16,6
42,-10,7
47,-8,17
20,-18,2
54,-4,-6
60,-2,5
53,-12,18
35,-19,1
24,-3,5
17,-4,6
45,7,-23
45,-1,-12
14,-14,22
-2,-2,-8
19,-5,-8
40,-6,-8
31,-30,17
23,-15,10
36,-12,-6
21,-6,14
39,12,-16
36,-5,0
24,-4,10
41,-2,4
32,-7,6
26,0,-4
20,3,1
2,6,-16
55,15,-19
32,7,3
24,-10,18
40,-1,-1
31,0,-6
43,1,-2
36,0,4
32,-3,-17
46,-2,-7
36,2,15
21,8,-2
42,18,-8
44,8,-2
21,5,5
20,0,-16
21,-2,-7
38,-1,9
31,-7,-2
35,-3,-1
16,2,-7
39,1,5
44,-6,4
53,6,0
27,3,-16
10,12,10
42,26,-18
46,3,-2
16,-2,2
38,6,-22
23,-8,-4
15,-1,11
40,0,0
60,-20,11
28,6,-16
9,2,-6
26,0,21
38,2,-12
33,6,1
35,0,6
28,0,3
50,-1,-4
30,-3,7
42,-16,5
20,-2,-15
28,15,-10
21,-1,5
25,-3,-5
40,-10,-12
39,-16,8
22,-20,19
21,-7,4
32,-7,-5
16,-6,9
38,2,-12
35,2,12
48,-6,3
29,-1,18
37,0,-5
48,3,-19
46,-8,-10
30,-4,1
39,9,4
50,2,8
24,-2,2
19,3,2
36,-6,-8
31,0,13
29,-2,13
39,-15,-5
40,-7,9
23,8,9
42,0,2
19,-2,9
44,4,-4
27,8,-19
10,-17,15
28,-11,-2
36,-8,8
41,-9,13
45,-5,-15
32,1,11
25,3,10
43,-21,2
31,-7,19
47,-19,9
33,-16,1
38,-4,17
37,-5,5
26,-8,15
44,-1,-6
56,3,0
21,-9,27
28,4,-5
20,12,0
38,9,-7
17,1,4
39,2,10
50,-7,-10
55,-15,24
31,-4,8
28,-8,-14
31,9,-14
35,-9,18
17,-1,5
22,10,-7
30,12,-11
41,-18,-7
40,-13,2
15,-16,18
20,-20,13
54,-11,10
27,2,2
32,-8,-6
21,9,-5
20,-4,4
39,8,8
17,4,-10
42,-4,-4
15,-2,1
52,-13,5
35,-3,11
25,-17,-7
41,-3,20
38,1,-6
39,-12,24
21,-2,14
38,-12,13
35,-21,6
32,1,-2
28,0,15
26,-17,11
19,9,0
27,5,-9
32,-8,24
30,-10,4
32,-23,31
18,6,-13
47,-22,-6
26,-3,4
11,-2,28
29,2,-17
33,3,-10
32,8,-6
11,1,15
6,8,4
42,-7,-10
38,0,-6
22,5,10
10,11,-4
42,15,-4
19,-3,18
21,-3,-2
25,6,-3
34,-1,-15
46,1,-4
17,-4,19
19,-15,-1
42,0,-6
24,-1,9
14,18,20
11,8,1
33,-7,9
44,3,-10
24,-6,6
20,15,7
19,9,-15
39,-1,-8
50,-4,17
8,3,-11
27,-5,2
29,1,0
10,-4,6
33,-1,6
31,3,-15
38,0,-15
15,-5,12
26,2,-15
26,-8,10
24,-1,-10
