ax,ay,az
18,-23,12
40,-4,-20
14,7,-1
38,-6,23
45,13,-16
23,-12,-1
33,5,-10
42,5,-32
-4,4,-16
49,-12,34
52,0,-4
14,3,-17
36,-8,8
22,-14,-20
10,-12,0
61,-9,13
1,0,-27
-16,5,-29
58,-2,-4
40,-7,11
23,9,4
31,-6,26
15,-8,23
59,-28,9
50,-11,-7
37,-11,16
36,-5,-1
32,-5,-10
41,-10,-6
30,-4,17
22,-6,6
41,2,-8
25,-3,-15
5,1,-7
28,3,-13
41,6,-23
47,0,10
6,12,-6
70,-1,-14
26,-6,16
20,14,-23
49,-1,7
37,5,-1
12,7,-22
66,-5,10
21,3,6
21,-9,-17
42,-15,-1
22,17,-13
36,-4,-3
23,1,-19
55,-3,22
14,-2,7
40,2,-27
21,-3,0
27,-7,15
29,5,-27
27,-1,18
-3,0,-3
68,8,-4
42,14,-16
3,-1,14
34,11,-28
56,-10,10
35,-4,16
60,13,0
30,5,-14
28,-17,33
57,0,12
23,-9,-18
39,-6,31
25,1,-7
29,-3,-18
22,2,16
11,8,-15
40,-4,1
16,-5,18
46,-9,7
15,-3,19
42,11,-40
52,-17,57
10,14,-22
18,2,-1
38,8,10
27,-18,15
30,-3,5
43,-13,13
19,-10,7
51,1,-11
44,-2,14
-8,3,-1
30,4,-19
41,-16,11
53,14,-20
22,-3,22
34,13,-19
25,-2,-2
13,-4,16
38,17,-30
19,-4,10
28,-2,3
48,9,-13
23,0,-11
32,8,-4
31,9,4
16,-2,-12
47,6,-3
28,-12,12
24,-5,-3
50,-9,11
19,2,-22
0,7,4
18,-3,10
38,-10,-6
20,13,0
18,-1,-11
48,-12,6
26,-1,11
23,1,5
62,-8,-2
36,-1,-4
20,-3,6
35,-13,11
29,-4,-26
50,-4,-14
34,11,2
23,-10,5
29,-9,-11
24,8,-18
42,-10,1
26,-9,27
43,14,-21
33,14,-22
6,-6,0
18,-12,-1
53,-10,10
35,1,-4
1,2,-5
29,3,-15
51,-4,2
21,4,-6
56,-14,5
31,-3,1
10,-9,1
24,-13,1
38,-12,-9
12,4,-14
34,-3,-6
27,-6,-8
24,-2,-13
20,-6,11
26,-2,2
41,8,-24
47,-10,2
4,-7,4
10,-16,11
37,4,-34
34,-23,-4
-4,-10,1
19,-12,7
39,-17,10
35,8,-2
22,7,-7
53,6,-20
34,-1,4
14,9,-7
21,-7,-11
38,-1,8
28,2,2
27,-7,-2
25,13,-13
21,3,-26
53,3,-4
27,4,15
6,3,-29
31,0,-9
58,0,29
30,-7,-9
31,9,-19
36,9,1
22,-5,-5
35,-15,-12
40,-9,21
37,13,-15
24,-13,-6
24,-3,-1
30,-2,-9
23,-4,-12
40,-8,10
24,-8,7
39,-9,-24
37,-12,15
30,13,-27
16,4,10
44,-4,-29
26,11,16
49,-18,-1
30,-30,4
43,-22,22
12,-6,-2
36,3,-10
35,-6,0
29,0,4
11,-11,-19
34,-4,-4
29,-1,-10
19,-3,2
31,-27,-10
29,-11,-7
31,-13,16
22,1,-6
32,-9,-10
35,14,-15
13,-5,-6
2,-3,-8
22,11,0
47,10,-5
33,-16,20
23,-21,-20
24,-7,14
31,-9,-11
32,0,8
31,-3,-8
49,-15,11
53,-1,10
34,2,-5
20,7,-8
15,7,3
38,-13,-2
48,-3,-12
35,-20,24
17,-11,-5
31,12,-10
29,-8,9
19,6,-7
35,-4,-4
53,-16,2
40,-28,18
25,-9,-23
33,7,-8
23,7,17
22,1,-12
40,4,-12
16,6,-19
27,-19,28
44,-16,-28
13,-5,18
22,6,-10
49,-20,4
22,3,11
39,-31,-1
44,9,-15
34,-2,15
10,-14,8
26,10,-1
31,-11,9
22,-5,-4
20,-2,-10
20,-15,-1
44,-10,8
37,-8,-8
43,-5,-30
32,-29,41
6,-5,-6
41,-6,-12
35,9,3
23,4,-26
26,-7,0
45,-13,4
50,-13,-16
11,1,4
19,-21,-7
57,-10,-5
32,1,22
20,-7,-10
28,15,-11
21,-17,24
57,9,1
34,15,11
17,-5,-4
22,-3,0
23,4,-6
38,-16,13
45,-8,9
38,-20,18
27,-3,-7
44,-1,-5
31,-2,3
20,-13,3
30,10,-18
34,-22,20
21,22,-12
37,-9,-23
32,1,-3
39,1,29
5,-33,9
63,-2,-6
27,20,-11
14,-17,4
26,8,-24
50,-6,0
20,13,9
17,-7,10
43,11,-38
15,-8,23
27,2,-8
31,0,-11
20,-5,10
31,6,-4
34,-9,12
32,-7,0
26,-20,4
59,-5,7
44,-6,10
27,-9,0
21,4,14
37,-9,-16
38,-3,-4
27,-28,15
32,5,-2
37,-2,5
32,0,0
18,-15,-9
41,-7,4
44,5,1
29,0,2
19,-19,2
45,1,1
35,-11,18
31,13,-15
33,-18,-2
32,13,1
37,-2,-13
27,2,12
35,-4,-2
37,-23,4
36,2,4
36,-17,9
12,2,-15
35,1,5
43,-14,12
35,-6,2
16,7,10
28,3,-13
30,-10,11
27,8,-4
32,-20,18
16,2,-30
24,-1,12
32,8,8
53,-21,13
14,-3,-17
