ax,ay,az
53,14,-19
53,15,-11
28,5,2
25,16,-14
52,-6,12
30,1,27
10,26,-8
46,-27,34
1,0,10
18,-13,-3
46,-12,25
28,-17,29
14,18,-25
44,1,-5
36,-10,9
-12,20,-25
36,-10,-5
46,17,-18
24,-10,16
38,-5,-18
51,2,2
34,-6,16
28,11,14
56,-11,5
2,-3,19
28,-8,24
9,-23,18
20,2,-30
20,-25,30
33,-19,7
14,7,-20
-9,13,-46
78,-2,29
26,-7,23
5,18,-14
63,17,-35
39,-33,60
35,-12,22
43,25,-43
58,-4,11
58,-13,48
4,40,-87
35,-4,0
43,3,17
1,28,-34
44,1,13
70,-4,20
21,6,-4
14,1,-5
35,-7,13
39,1,-5
38,-24,20
34,-11,-34
34,0,22
60,1,10
13,7,-12
23,-10,12
28,9,0
-2,15,-8
57,-2,5
60,-20,34
-19,23,-31
24,-9,-19
67,-3,26
35,5,-5
40,-13,2
41,2,10
17,7,-2
43,10,-27
43,-11,9
12,5,-22
54,-4,-6
52,5,-6
18,10,1
19,20,-12
30,-7,-18
51,-12,2
32,-19,20
15,-6,-11
67,-7,-13
22,-9,12
13,7,-18
24,-5,5
36,-3,16
18,5,-26
12,-3,-5
34,-14,15
27,-7,-4
24,-8,20
50,-3,5
17,16,-30
16,4,8
35,10,7
14,22,-48
49,-4,18
69,5,1
19,9,-20
36,-3,-2
43,-6,15
43,7,-15
55,22,23
53,7,0
36,10,-24
49,-8,5
37,-3,2
25,-1,-32
73,-8,35
31,14,1
13,-13,13
52,-7,1
17,-4,-3
33,-12,-6
39,-18,26
6,-1,-1
31,-4,-2
32,1,-14
20,7,-3
19,-18,23
46,-1,-22
7,-11,9
63,-19,3
37,0,17
-9,3,-21
57,0,21
43,-9,9
29,-5,2
28,6,-12
34,-2,9
57,1,-23
36,-2,29
29,12,-4
58,-10,-14
16,10,4
43,-11,0
28,-1,-24
35,-13,29
52,-14,4
48,27,-42
21,3,-21
53,-7,7
26,5,6
32,-6,-12
28,3,-7
44,0,15
6,5,-18
43,5,7
43,-2,28
-10,4,-36
69,-18,15
10,-9,14
21,-1,-11
17,-6,-8
27,3,-8
31,0,2
19,3,-18
49,5,-12
18,14,-11
17,-2,-11
36,-2,-19
3,23,-21
32,-6,34
33,1,-18
33,-20,13
38,0,-14
21,-13,-18
35,5,-13
38,-13,-1
43,-13,4
24,4,3
17,-9,-35
71,1,-1
2,11,-16
52,-2,-34
48,-6,-2
11,-3,14
51,-17,10
16,7,-18
0,8,-10
34,17,-26
15,20,-19
40,-25,16
40,-8,16
16,-4,-9
31,-4,-12
21,10,-10
36,14,-31
-3,0,-4
18,14,-7
33,8,-15
34,13,-14
50,-12,13
16,5,-3
24,14,-31
34,-15,4
27,1,-14
40,0,-2
24,-6,-9
17,-10,11
30,9,-24
35,5,-20
41,-8,16
27,-1,-8
28,-2,3
50,1,-9
17,-2,0
43,-9,21
41,-4,-20
25,2,14
45,-8,12
21,9,-24
16,4,-17
24,0,6
36,4,-20
30,7,2
16,-15,5
32,-11,4
47,-3,13
12,2,-4
40,0,-7
34,1,-7
32,-3,7
31,7,-12
27,3,-37
31,0,7
47,3,-2
31,2,-7
11,-7,5
29,6,-20
52,-6,3
36,-10,0
43,8,0
-3,-3,-3
81,-2,-11
27,-3,40
11,-1,-18
43,-6,4
45,6,-1
