ax,ay,az
49,-20,10
-8,3,-29
55,-18,37
35,-7,13
14,10,-34
15,0,7
47,2,31
12,5,-31
58,-4,0
49,3,28
6,9,-22
19,2,-37
77,-10,26
24,-3,0
22,-12,0
33,8,-2
22,-13,10
8,17,-13
18,8,16
7,3,-37
25,-20,23
44,2,0
3,-8,8
17,-28,15
78,-10,2
23,14,-12
-2,-2,-23
47,10,-33
16,-8,35
23,6,-37
33,12,-14
15,-13,20
39,14,-11
1,-2,-22
16,-13,18
55,9,-33
39,-6,9
22,-7,-5
57,-20,27
17,23,-32
0,1,9
49,-9,-14
19,19,-4
14,-3,19
32,-5,-6
46,-9,-20
20,8,-10
33,-3,16
44,6,-41
15,5,5
58,6,7
7,-5,18
28,-1,-16
49,-21,48
3,12,-37
45,-4,2
23,-6,4
32,15,-10
24,8,-9
37,-8,5
26,-7,-18
7,-8,18
32,2,-38
25,2,-5
22,-4,26
37,-19,17
29,14,-3
60,-22,28
7,25,-5
-7,-7,-6
75,-8,-22
-1,-10,24
32,-9,17
13,2,-4
35,-15,1
39,4,15
5,7,12
7,-1,-47
48,-10,24
38,9,6
39,0,-23
-6,3,16
47,-9,-23
58,15,-18
41,10,0
-20,-43,45
31,24,-30
44,-1,35
-19,-27,24
73,-8,-18
21,5,26
57,7,-19
77,-20,4
3,32,-7
24,-5,9
36,-9,-1
38,22,-12
33,2,7
6,12,3
28,-30,14
38,-14,-3
24,-3,2
15,-5,0
39,-13,-12
12,-19,1
38,-5,7
46,12,-13
23,9,17
20,-8,4
51,-3,-2
36,8,9
42,4,-8
22,6,-7
31,-4,-4
13,4,9
32,-3,-1
15,-11,3
18,-13,6
25,-2,1
29,-13,0
12,-16,9
39,-6,0
32,6,-9
35,6,-4
25,-5,1
37,13,-4
40,-1,10
30,-2,5
26,-11,1
41,0,7
26,-4,8
13,-14,9
27,0,-9
32,-10,12
11,-4,1
23,-14,-14
56,7,-4
19,-1,4
28,0,4
44,-5,2
52,5,0
33,2,8
34,9,6
39,10,-14
27,-3,7
41,8,9
34,-3,5
20,-6,2
28,-4,-3
38,-13,10
9,-9,11
26,-1,4
15,0,17
18,-9,-5
26,5,-12
28,-13,13
13,-17,-4
41,-16,-21
53,10,6
6,-6,19
8,-8,7
70,3,-1
40,3,13
29,-5,-27
31,6,-4
17,-3,34
42,12,-23
26,-2,-1
36,-2,25
22,-7,-8
50,-1,11
20,9,9
38,9,-11
28,-2,11
22,8,-11
38,-19,12
16,-2,7
20,-10,0
15,-8,15
18,-2,-36
23,-5,11
17,-6,4
35,-6,17
13,-6,1
34,2,-6
21,-16,7
22,4,-1
33,0,11
26,-7,1
31,-3,-1
25,-10,9
27,7,-2
7,-6,3
33,11,1
28,-8,-6
31,8,3
7,-11,-4
33,4,-8
24,-7,-3
35,7,-8
34,-3,-9
21,11,4
20,-5,1
28,6,-6
40,-11,8
23,9,-3
12,-3,-2
34,4,2
36,-8,-7
22,-8,8
29,3,-13
24,-12,12
46,12,-10
23,-10,12
21,13,3
22,-7,-16
42,3,8
23,-1,6
