ax,ay,az
25,-14,23
47,2,-5
53,-14,-39
9,-6,10
47,-18,-1
28,-1,15
36,17,-18
72,-6,-10
19,-7,8
45,-11,18
33,3,-8
47,1,-8
41,2,-14
27,-12,21
51,-6,-5
18,-9,2
34,-15,5
25,-21,-19
16,-26,30
31,-20,12
33,-15,-7
37,-8,-6
27,1,-16
47,1,4
21,1,-8
65,4,-21
39,-26,30
27,0,4
46,8,-54
57,-33,84
6,9,-36
17,6,-16
56,0,24
31,5,-6
19,4,-24
-8,-1,1
29,-7,19
42,14,-6
8,-19,14
-10,-9,14
49,-9,-29
43,-12,19
40,-10,-24
68,-20,4
-7,25,-4
14,5,-30
64,-21,30
36,10,23
18,16,-51
12,-12,21
36,-4,14
29,4,0
-11,10,5
53,17,-23
11,10,-19
39,-10,0
17,0,12
50,-19,4
10,0,8
41,-8,27
23,-1,-9
13,7,-15
64,-24,19
22,-18,11
-5,-11,6
72,5,-22
50,-3,8
37,0,17
13,17,-9
17,8,16
65,-17,-10
26,-17,-28
-4,-35,42
26,-3,-23
19,-19,16
26,-13,18
22,-3,-25
39,-11,-1
57,-21,-4
29,4,-20
0,2,2
49,-15,13
27,-6,2
41,-4,21
51,21,-13
12,1,-3
39,1,-20
64,-12,-24
37,7,18
-4,-45,60
96,-51,43
10,-2,17
23,-6,8
57,19,-64
66,-2,30
13,10,-12
14,-12,-6
31,-20,13
33,2,-14
42,22,-12
23,13,-18
25,-1,-7
34,-7,4
36,-8,15
4,-14,4
2,-7,-1
41,-2,-19
38,8,9
15,-5,-1
26,-12,-23
45,5,-11
28,-2,11
30,-6,-1
34,4,-4
59,6,-4
36,-1,7
31,3,-9
41,2,7
38,-2,7
36,5,-2
23,-3,-1
35,1,7
31,-14,1
29,-18,19
21,0,-18
27,-9,7
32,-11,-7
24,-7,-12
37,2,-9
34,-17,6
28,-8,19
38,3,-10
46,8,1
34,-2,13
50,6,-7
37,-6,5
41,0,-4
22,-14,11
26,2,3
29,-7,-26
21,-6,22
14,-4,14
19,-17,2
38,2,-15
21,-17,11
22,-7,-13
26,-5,-4
28,-11,6
33,-5,-17
48,-1,-17
26,-11,5
46,4,2
38,-13,10
37,-20,20
37,1,5
28,-3,-2
46,1,17
46,9,-7
33,-3,4
29,-3,-1
64,-6,-5
22,9,-3
13,-13,29
15,2,-19
36,4,-15
39,-9,-2
34,5,-12
-7,0,-4
35,-26,56
27,-15,-8
32,1,7
25,-6,20
29,-3,-10
31,9,-6
30,-6,2
42,7,-13
36,-2,13
23,6,-19
48,3,1
30,-8,0
46,8,-4
18,-10,0
45,6,-5
26,-8,7
24,-5,20
49,2,-7
28,0,14
39,15,-13
44,0,-3
37,-1,14
48,6,5
31,-7,6
45,2,-4
29,-16,11
43,-1,8
30,-7,6
29,4,9
41,7,-21
33,0,7
40,6,-9
24,-1,1
37,10,2
26,-10,3
50,-7,4
15,-1,14
23,-4,1
26,-2,-2
44,-3,4
27,0,3
13,-7,-1
33,-1,5
33,-3,3
22,1,9
17,-10,1
32,-3,9
28,-4,-1
31,-4,-3
20,-3,2
22,-8,9
40,12,-7
28,-15,-8
