ax,ay,az
32,3,-13
27,-1,-8
28,-1,-3
35,2,-2
32,-3,-7
25,0,-1
26,6,-9
32,2,-13
28,2,-7
29,0,-3
36,0,-10
33,-3,-7
25,1,-4
31,5,-8
28,4,-7
26,-1,-9
35,-4,-3
36,1,-5
28,4,-11
24,-3,1
31,-7,-6
31,3,-13
29,2,-3
34,-1,-6
31,2,-11
32,2,-14
27,3,-6
28,3,-5
30,2,-6
25,-1,-6
35,-5,-5
36,0,-6
29,6,-10
30,-5,-2
28,-3,-10
29,2,-12
32,1,-1
33,-4,-5
23,-2,-1
27,9,-13
33,5,-14
30,-7,-3
29,2,-3
28,-1,-8
34,-1,-5
26,0,-8
29,4,-13
32,1,-10
31,-5,-3
28,0,-5
28,2,-12
34,-3,-6
35,0,-4
28,3,-11
24,-1,-2
30,-7,-7
31,3,-14
29,1,-2
34,-2,-6
25,-1,-5
30,7,-16
31,4,-11
29,-3,-4
34,-1,-7
34,2,-1
30,3,-14
29,0,-10
29,1,-4
31,4,-13
27,-2,-6
28,0,-2
33,0,-11
29,1,-9
33,-2,-8
31,-4,-4
27,1,-5
28,0,-6
33,-3,-4
33,0,-11
27,6,-8
28,-1,-4
29,-3,-9
33,-4,-5
37,5,-8
29,6,-12
26,-2,-2
30,-4,-7
29,6,-11
35,2,-2
33,-6,-2
25,-2,-3
30,5,-11
28,5,-8
25,-1,-6
34,-6,-3
34,1,-11
29,6,-8
32,-2,-10
26,-1,-4
27,2,-3
35,-1,-10
29,0,-8
32,-5,-5
30,-2,-2
28,0,-10
27,-1,-9
32,-3,-6
35,4,-11
27,8,-11
26,1,-5
30,-5,-5
28,3,-11
28,0,-2
28,-1,0
36,-3,-6
32,-2,-6
24,0,-2
32,-6,-8
34,2,-13
28,3,-8
30,2,-5
34,1,-11
36,0,-10
23,3,-6
27,5,-8
30,1,-9
31,-7,-8
28,0,-2
27,2,-8
30,-1,-6
33,3,-11
27,3,-3
26,1,-5
29,-2,-11
29,1,-9
34,1,-1
32,-3,0
29,-1,-8
31,3,-10
31,3,-10
31,-8,-6
28,-1,0
30,4,-2
31,0,-10
27,0,-9
28,1,-3
29,2,-7
28,0,-11
28,2,-4
37,2,-9
35,-3,-3
26,0,-7
29,5,-11
28,4,-11
28,1,-3
29,-1,1
36,-4,-7
31,0,-8
27,-3,-3
26,4,-3
31,3,-12
32,-3,-11
33,-2,-7
32,1,1
32,3,-13
34,-1,-10
28,3,-4
32,-3,-6
29,1,-15
30,-3,-11
27,1,-1
27,3,-4
37,-1,-6
34,-1,2
28,3,-14
30,0,-12
30,-3,-5
26,0,0
30,-1,-11
33,-2,-11
28,5,-5
26,-1,-6
34,-3,-1
35,0,-1
29,2,-10
23,-2,-3
33,-7,-3
32,2,-10
29,4,-12
28,1,-5
35,0,-5
28,6,-15
26,1,-9
30,-2,-3
30,3,-10
26,1,-5
27,-1,0
36,-3,-7
30,-1,-8
33,-5,-4
25,3,-2
30,-1,-13
30,-1,-10
33,-2,-8
35,3,-3
32,5,-17
31,0,-11
26,3,-1
29,0,-5
30,-1,-15
31,-1,-9
28,0,-5
28,1,-8
33,-1,3
33,0,-1
31,0,-13
31,0,-8
28,1,-5
27,2,-5
28,-1,-10
30,0,-9
30,1,-5
28,0,-4
34,-3,-6
37,-2,-7
28,4,-10
32,2,-11
31,-7,-5
28,1,-3
28,1,-7
31,-2,-5
34,0,-10
26,6,-6
25,2,-5
30,-3,-9
29,2,-10
32,2,1
33,-1,-2
30,-2,-9
30,2,-12
30,3,-13
31,-5,-5
29,-1,-2
29,2,-4
30,-1,-7
31,1,-13
26,5,-4
29,2,-6
29,-1,-11
29,-1,-8
33,3,0
34,-2,-2
31,0,-11
32,0,-12
26,1,-4
25,4,-3
32,0,-10
30,-2,-10
32,0,-5
33,2,0
32,3,-14
31,-2,-11
26,4,-2
31,0,-9
28,1,-12
32,-2,-4
34,2,-3
29,4,-11
26,-2,-1
30,-5,-8
29,4,-12
31,2,0
34,-2,-4
