ax,ay,az
30,-4,-9
29,-2,-6
30,-1,-5
29,2,-9
30,1,-6
29,1,-5
29,1,-9
27,0,-9
26,1,-10
34,3,-9
31,1,-5
31,0,-7
32,2,-9
32,0,-8
30,-1,-6
27,-1,-10
34,2,-7
33,4,-7
29,0,-6
29,-2,-6
29,1,-10
28,0,-11
32,-1,-6
35,1,-9
29,0,-8
29,1,-7
28,1,-10
27,0,-10
33,3,-7
32,1,-5
31,1,-7
31,2,-10
31,1,-9
30,-1,-5
27,-1,-9
26,1,-8
32,3,-5
32,2,-6
31,1,-9
29,1,-6
30,0,-5
30,0,-6
27,0,-9
26,0,-10
35,3,-10
32,3,-4
30,0,-7
30,-1,-7
30,1,-9
30,-2,-9
27,0,-7
34,2,-7
33,3,-6
30,1,-8
27,-1,-5
29,-1,-8
28,-1,-10
30,1,-6
34,3,-10
30,2,-10
29,0,-6
29,1,-8
30,2,-12
29,2,-6
30,-2,-5
31,0,-6
31,2,-10
30,1,-9
30,-1,-6
28,-1,-8
26,0,-6
32,4,-6
35,1,-7
29,-1,-7
29,0,-8
30,1,-9
30,1,-10
29,0,-6
29,-1,-6
31,0,-7
31,2,-9
30,2,-10
30,0,-8
28,-3,-6
28,0,-5
32,4,-10
32,1,-6
29,0,-5
27,-1,-7
26,2,-6
33,5,-10
35,0,-8
29,-2,-6
29,0,-7
29,-1,-9
30,0,-10
29,1,-7
29,-1,-7
31,0,-7
32,2,-9
29,2,-8
29,0,-5
27,-1,-9
26,1,-7
33,3,-7
36,2,-9
29,-2,-5
30,1,-7
27,1,-10
27,-1,-9
36,3,-8
33,3,-6
28,1,-6
28,0,-6
30,2,-11
28,0,-10
32,-1,-6
36,1,-11
28,0,-6
29,2,-7
27,1,-11
27,-1,-10
37,1,-11
28,1,-8
29,0,-7
29,2,-9
29,1,-10
27,0,-5
28,-2,-7
33,1,-7
33,3,-8
31,0,-8
30,1,-5
28,-3,-9
26,1,-8
32,2,-6
35,3,-9
31,3,-9
29,1,-6
28,2,-7
31,2,-10
27,0,-5
28,-3,-8
34,1,-7
33,3,-8
31,0,-8
31,-1,-5
28,-3,-8
26,0,-8
33,3,-6
34,1,-8
31,1,-8
28,1,-5
29,1,-6
31,2,-10
27,-1,-5
28,-2,-6
32,0,-7
29,0,-4
30,2,-9
25,0,-8
27,-2,-8
35,3,-8
32,3,-6
28,1,-6
29,0,-7
30,2,-10
29,0,-9
29,-2,-6
32,2,-6
30,1,-8
28,0,-4
29,0,-11
27,-1,-12
31,2,-5
33,1,-5
29,0,-5
28,1,-8
29,2,-11
30,2,-10
29,-2,-6
31,3,-6
29,3,-11
31,1,-7
28,-1,-5
31,1,-8
26,0,-8
27,0,-11
32,2,-6
31,0,-6
30,1,-6
31,2,-9
31,2,-9
29,0,-8
28,-2,-6
35,1,-10
32,4,-9
30,3,-8
29,-2,-4
27,-2,-9
25,1,-8
32,2,-6
34,3,-7
30,0,-8
28,0,-5
30,-1,-8
30,1,-10
27,-1,-4
29,-1,-6
33,0,-8
32,4,-9
30,2,-9
30,0,-5
28,-2,-9
26,2,-8
32,3,-6
37,1,-11
28,-1,-5
29,0,-7
28,3,-9
29,0,-10
31,4,-5
30,0,-6
31,0,-6
32,1,-9
31,1,-9
29,0,-5
27,-1,-8
26,1,-7
33,4,-7
29,0,-7
28,-2,-4
29,0,-10
27,0,-11
30,0,-6
33,3,-6
31,3,-11
29,1,-5
29,0,-6
31,2,-10
26,0,-4
27,-2,-7
35,2,-8
33,4,-8
30,0,-6
28,0,-3
27,-2,-8
26,0,-10
31,0,-6
34,3,-9
30,2,-9
29,0,-6
29,1,-7
31,3,-10
26,-1,-4
28,-3,-7
34,2,-7
33,4,-8
30,0,-6
29,-1,-4
28,-3,-9
25,0,-8
31,1,-6
34,3,-8
32,2,-9
30,0,-6
28,-1,-5
27,0,-11
29,-1,-10
29,-2,-6
30,2,-7
32,3,-9
29,-3,-4
29,1,-6
30,2,-9
27,-2,-5
28,-3,-5
33,0,-9
31,3,-10
30,2,-8
29,0,-6
27,-1,-6
27,1,-5
33,5,-12
34,0,-7
29,-1,-4
29,1,-7
