ax,ay,az
28,3,-7
28,-1,-6
30,3,-5
30,-3,-2
34,0,-4
34,-1,-4
31,4,-8
28,-1,-1
30,-2,-6
29,2,-7
30,0,1
35,3,-7
29,2,-6
28,5,-6
29,2,-2
30,0,-9
30,3,-9
32,-1,4
34,0,-1
29,3,-8
32,2,-8
30,0,-2
30,3,-5
28,2,-6
29,-1,-7
34,-1,-2
34,0,-3
33,3,-5
32,1,-1
29,1,-6
26,0,-6
31,3,-3
34,0,-9
29,-2,0
32,1,-8
29,3,-7
29,0,-5
35,2,-7
32,4,-4
31,2,-6
30,0,-2
30,-1,-6
28,1,-5
29,1,-2
32,3,-6
29,0,-5
30,0,-4
32,-1,-6
30,1,-1
30,1,-4
29,2,-5
29,0,-4
33,-2,-3
31,3,-8
28,2,-6
30,-1,-3
31,-1,-2
30,3,-6
29,6,-7
32,0,-2
28,1,-5
29,0,-7
31,4,-1
33,1,-5
29,3,-5
31,2,-5
32,-1,-6
29,-1,-7
33,4,-7
32,4,-4
32,1,-4
29,-1,-2
30,2,-7
29,0,-5
30,2,-2
32,4,-7
29,1,-4
32,1,-5
31,1,-4
28,3,-8
29,3,-6
30,1,-2
33,-1,-4
33,2,-4
28,5,-6
31,0,-7
29,-1,-6
31,4,-4
31,2,-1
30,-1,-3
31,2,-5
29,6,-7
30,2,-4
29,-2,-3
29,0,-5
32,4,-4
33,-1,-5
30,2,-3
31,5,-8
27,1,-4
30,-2,-2
34,1,-5
31,5,-3
31,1,-7
30,2,-3
29,0,-5
27,2,-5
31,3,-2
33,1,-6
30,0,-1
30,3,-6
26,2,-5
29,-2,-3
34,-1,-7
29,3,-7
30,4,-6
34,1,-2
27,1,-3
27,0,-7
32,4,-4
32,0,-7
29,0,-2
30,0,-6
31,0,-6
29,-1,-3
30,5,-6
31,2,-6
31,0,-3
30,1,-1
31,6,-7
27,1,-6
28,-1,-4
33,2,-5
32,4,-4
32,3,-6
31,2,-2
28,-1,-5
26,1,-5
31,2,-3
35,0,-6
28,0,-2
31,1,-7
31,0,-3
32,1,-7
27,3,-5
27,-1,-4
33,0,-4
33,3,-3
31,1,-5
27,2,-4
31,5,-8
32,-2,-2
27,1,-4
27,3,-6
33,3,-5
31,3,-6
29,2,-2
29,0,-6
28,2,-4
30,3,-2
32,3,-5
29,1,-4
32,0,-5
30,0,-5
29,0,-8
32,3,-7
30,2,-2
31,1,-5
28,0,-3
30,2,-8
30,1,-4
30,1,-2
31,3,-6
30,2,-5
30,0,-4
32,-1,-2
31,3,-9
28,2,-6
31,-1,-3
30,-1,-1
28,5,-6
30,6,-8
34,-1,-2
27,2,-5
27,1,-8
31,3,-1
34,-1,-6
27,5,-2
30,3,-9
32,-3,0
31,3,-7
27,6,-6
34,4,-8
35,-3,-5
29,1,-2
30,4,-6
32,-1,-5
31,-1,-7
26,5,-6
28,3,-4
30,-1,-2
30,2,-7
28,5,-4
31,2,-2
27,2,-8
29,2,-7
30,2,0
31,2,-4
29,4,-7
30,1,-4
33,-2,-6
30,-1,-8
31,3,-7
30,-1,0
32,1,-5
30,2,-6
30,3,-4
29,2,-1
28,0,-8
29,2,-8
33,1,-1
33,-1,-5
30,1,0
30,4,-5
26,2,-5
31,-1,-9
33,1,-5
29,-1,0
31,2,-6
29,2,-8
28,1,-8
31,5,-6
29,3,2
35,-2,-5
32,2,-5
29,4,-7
30,0,-7
29,-1,-4
29,3,-6
33,1,-6
