ax,ay,az
27,3,-4
35,3,-5
30,3,3
32,-2,2
31,-2,5
28,4,-3
26,4,-2
31,-4,6
31,2,-3
32,5,3
28,5,6
35,1,0
27,4,1
34,2,-2
28,4,3
38,0,-1
28,6,3
32,1,4
29,-6,2
30,-3,4
30,0,-1
24,0,-1
31,0,5
31,-4,4
35,0,-1
32,-3,5
35,4,3
34,6,3
25,3,-8
28,9,-3
41,-6,-14
32,-3,12
28,6,3
22,4,-1
29,-2,0
31,-6,11
28,3,6
29,7,1
29,-8,3
32,-17,6
25,6,2
39,-4,0
21,-3,4
28,1,3
28,1,7
37,-5,3
33,1,-6
32,0,6
34,-4,5
25,-2,3
33,-1,8
23,6,5
38,-5,2
31,0,5
38,-4,6
34,-6,8
29,10,10
36,7,-10
26,9,5
30,10,6
28,2,17
39,8,7
30,12,1
37,-6,8
32,-18,15
35,-15,11
27,8,-6
17,9,-12
29,1,18
34,13,-10
31,-3,5
36,-10,17
24,10,10
29,14,-20
14,17,-7
21,2,9
40,13,-11
31,2,0
9,21,2
26,4,14
25,13,-3
38,-17,13
19,-7,8
35,2,-4
31,8,-20
16,16,3
21,3,3
16,12,10
28,-2,36
29,-21,10
34,-5,29
23,-15,18
11,2,9
19,11,-23
20,-22,29
27,1,12
38,0,1
25,5,5
47,0,13
42,3,2
42,-14,1
32,-14,21
31,16,-14
30,5,2
22,9,5
31,6,-31
31,-1,-19
46,18,-16
20,4,-9
53,-19,-4
14,34,-5
18,21,-2
30,-6,-3
33,7,1
25,-16,17
45,-10,-3
35,-8,-10
28,5,2
43,19,-8
29,9,-4
25,-9,9
30,3,16
32,-3,3
23,-13,11
32,-11,3
37,18,-24
24,3,8
35,-6,12
31,6,-26
25,9,-17
41,0,10
20,7,0
12,-8,2
27,9,-19
47,1,7
26,7,-1
34,4,-7
16,7,12
34,5,7
47,-3,-5
22,2,17
17,17,-8
37,-2,-11
32,-5,28
35,3,2
22,3,-16
35,10,-20
24,-1,18
33,-15,13
27,6,-8
24,-3,9
39,15,-35
35,15,-19
30,-1,25
25,1,22
52,-8,-17
45,-5,-7
11,9,37
32,15,24
30,3,-21
19,3,-3
24,-12,4
33,-19,-7
35,-3,10
42,-4,8
26,18,3
27,15,19
32,6,-15
31,5,0
26,-21,5
18,-15,6
19,-20,12
21,-11,9
39,-4,-5
36,-13,30
48,30,-22
57,21,-48
41,7,16
44,27,9
13,-6,14
13,-21,15
21,-4,18
18,-9,-27
21,-8,2
36,20,-40
30,-1,-19
26,21,-12
23,3,2
22,8,-3
40,2,-2
16,-2,-3
25,-3,16
15,1,-28
39,-8,11
24,3,-25
23,-18,33
14,9,-3
30,11,-15
24,-4,28
37,5,15
25,1,11
42,6,-10
