ax,ay,az
32,-1,-3
29,-1,-3
31,4,-4
30,3,-4
29,-1,2
31,3,-4
29,4,-8
26,5,-5
32,2,-2
31,1,1
30,-1,-3
31,4,-2
32,1,-4
29,0,-1
27,-1,-6
29,6,-9
29,-5,-3
30,-1,-3
33,2,-1
32,-1,-4
29,-5,-2
28,0,-5
30,-1,-6
31,-2,-1
33,3,-4
32,0,-3
30,-3,0
28,0,0
31,5,-5
29,0,-4
27,-2,-3
33,1,-3
33,2,-3
31,-2,-2
29,-1,1
28,4,-5
26,0,-3
32,0,1
34,0,-3
31,3,-3
29,-3,-2
30,0,-2
31,5,-6
29,0,-5
27,-1,-3
34,0,-3
34,2,-1
31,-3,-4
32,-3,-4
30,4,-7
28,0,-7
30,-4,0
33,0,-3
31,4,-3
32,1,-3
30,0,2
30,2,-7
31,-4,2
28,1,-3
33,0,0
33,-7,9
42,9,10
44,3,-9
32,12,4
44,-1,2
39,-10,4
28,0,12
37,-2,3
23,-4,6
24,-14,9
23,1,0
18,5,-5
22,-2,3
34,-4,9
22,-5,-5
29,9,7
29,2,5
34,-8,9
26,-10,4
34,2,6
21,-3,2
32,8,12
32,-5,2
33,-16,15
34,-2,8
43,-1,10
36,7,-1
27,14,9
29,11,5
24,-14,12
35,-26,15
21,-9,13
28,-7,19
43,4,-12
24,6,7
24,4,18
38,-9,17
40,-9,-5
40,-13,12
50,-2,13
55,1,-18
36,25,-3
24,18,-1
28,16,6
25,16,-16
17,7,3
17,11,-1
15,-2,-9
15,-7,-3
22,-7,2
9,-8,12
33,1,-2
39,-7,19
55,0,14
44,10,8
52,15,3
52,14,-1
38,4,-1
29,9,4
49,-5,8
33,-12,0
14,-6,12
23,18,-20
24,18,-27
29,-1,3
28,-2,0
28,-4,-12
35,-5,30
35,-3,30
24,-5,0
23,1,6
36,-2,-4
27,-7,-3
54,-2,-14
44,-5,3
43,2,-8
35,-7,-14
49,-18,-14
29,3,-2
29,-6,-27
19,11,24
21,18,20
14,15,6
12,-3,11
48,7,-27
27,-1,-21
44,-12,-17
14,5,1
46,11,1
34,8,0
52,13,-7
17,-1,-2
16,5,21
5,-16,20
22,-11,-14
63,-18,-10
34,14,26
18,6,9
20,-5,13
6,4,15
37,1,4
19,-7,22
28,8,16
51,20,-38
31,25,-34
39,-4,18
22,3,9
54,-11,-8
46,-12,13
24,31,-5
25,27,-9
21,3,6
13,3,32
19,-6,-23
25,-1,-21
27,1,-4
13,-11,-20
35,-2,11
25,1,14
56,20,-7
47,19,-32
52,18,17
54,20,-8
47,-5,3
59,2,5
13,-24,56
60,8,-10
7,-7,43
48,2,17
10,-5,28
51,3,10
23,-5,2
50,-1,6
36,9,-2
39,-13,10
65,2,-17
47,-16,18
46,-9,32
38,8,-1
47,-7,12
