ax,ay,az
32,1,-7
34,2,3
32,-2,-3
32,-2,-4
36,-2,3
29,2,-4
31,0,-2
29,2,0
32,0,1
29,0,-3
32,0,2
29,-4,-3
37,-1,-2
32,3,-4
34,2,-2
35,4,-1
28,5,1
34,1,2
32,-2,-5
29,-5,1
24,1,-1
26,6,-4
31,-4,1
31,0,-3
34,3,0
38,2,-2
29,-4,1
26,0,-1
25,5,-3
26,2,2
32,-1,0
32,2,1
33,8,8
31,1,0
27,3,-1
29,1,0
29,-5,-2
36,-2,1
37,1,10
26,8,-1
37,0,7
28,-1,5
26,1,1
39,10,5
35,8,-10
31,-1,-1
33,1,-2
26,-3,0
26,-8,-1
31,8,6
34,-1,0
27,7,-4
29,2,-2
32,2,4
36,1,-3
35,-2,2
34,0,2
30,1,0
25,-3,1
35,8,-5
35,1,2
31,1,-3
31,3,-6
32,-11,4
28,-4,-1
33,1,4
40,4,2
28,-3,5
31,-3,-2
27,0,3
27,-6,5
42,3,-9
36,11,-5
27,5,4
31,1,5
30,1,-5
29,-4,-3
26,-1,2
25,3,-4
29,5,-4
24,-5,5
26,-2,11
33,0,1
39,-1,-2
29,3,4
27,-1,3
40,2,-3
32,7,-6
30,4,-9
34,8,-3
28,5,2
28,1,3
31,3,-2
26,-1,-6
31,-8,-1
32,0,4
33,14,-4
40,3,-7
27,3,-4
26,5,-6
23,-5,6
32,-12,4
32,15,5
31,4,-5
29,0,0
24,8,-2
28,10,1
34,4,14
28,9,1
33,-1,-3
35,7,13
31,3,-2
38,-15,2
32,-3,-4
28,14,-12
35,13,-10
22,10,-3
23,-11,13
34,-9,13
36,5,-10
30,5,1
24,8,10
28,-1,0
31,-9,-1
30,9,7
30,18,-4
30,-1,-2
44,6,2
33,2,4
26,-12,7
41,2,3
25,5,4
30,9,-16
15,13,-7
36,-4,-3
25,6,-9
33,-3,10
36,-2,-4
36,8,-15
27,4,3
30,9,-10
20,16,-14
30,8,0
33,11,-11
27,12,1
21,8,-9
28,-3,-1
38,-1,1
33,3,-1
38,-5,5
35,2,-3
48,-6,14
43,-8,23
35,-11,12
36,-15,8
37,-7,13
40,-7,4
39,-8,0
38,-5,11
48,-4,14
42,7,1
42,-10,13
25,4,1
34,3,3
29,17,-15
26,3,-9
31,11,-25
13,13,-11
27,-20,6
33,-12,19
22,-7,10
48,-9,15
18,17,-11
36,4,-7
22,3,14
36,-12,5
26,14,10
38,-2,5
32,-4,-21
26,18,-34
34,4,4
36,-11,4
30,10,-17
12,26,-22
6,21,-25
11,1,0
28,1,-6
28,7,-9
33,3,3
30,-3,7
40,-7,-3
37,3,-4
42,1,0
16,11,-17
