ax,ay,az
29,3,-5
31,-3,1
28,0,-1
32,4,-2
31,0,2
33,3,-4
33,3,-3
30,2,1
30,3,-4
27,2,-4
32,1,3
29,0,2
28,1,-4
31,-1,-3
27,-2,0
29,-2,-1
33,0,1
24,0,0
35,4,-7
33,1,1
32,3,-4
34,4,-9
30,2,-2
34,1,-2
28,-3,1
29,1,-1
33,1,-3
26,-1,-4
29,-1,0
32,2,-2
32,0,-1
31,-4,4
28,0,1
28,2,-4
24,1,-7
32,0,-2
31,-2,-1
27,2,-4
30,0,2
31,4,0
35,-2,-3
28,0,-2
25,4,-6
34,2,-5
32,1,10
32,1,-1
27,0,-1
29,3,-5
32,4,-4
31,0,0
25,-2,6
25,7,-6
32,-2,-3
33,2,-1
30,3,-9
31,6,9
33,3,-1
39,0,-6
33,-4,-4
34,-5,0
32,-7,3
35,4,4
32,-5,-3
28,0,-5
31,-9,3
29,3,4
29,2,-2
28,-3,-6
34,-8,-3
32,0,2
37,1,-4
43,-6,-7
36,3,7
32,6,-2
22,13,-1
33,-3,13
32,-3,15
29,10,-1
24,4,-4
25,5,10
33,0,1
31,1,2
25,-5,-2
29,4,-7
31,-3,5
30,1,1
37,-5,1
33,-4,-3
29,8,4
32,2,4
29,-3,-8
26,-10,13
26,12,5
38,-1,6
31,7,0
24,5,-5
35,-14,8
24,2,3
38,19,-14
45,2,-2
18,5,5
29,3,-11
30,-2,0
26,-6,3
31,8,7
31,7,-8
25,3,5
25,2,5
24,6,3
27,7,6
20,11,-9
29,3,-9
28,7,10
24,10,-6
37,-8,-4
42,-7,-7
23,8,0
36,12,4
29,7,-9
29,-15,1
37,1,5
31,10,-6
23,3,-3
41,1,5
32,-4,2
28,-6,3
44,0,3
23,0,5
14,11,2
28,11,-12
26,-3,4
34,-3,1
30,1,-1
42,-5,4
23,15,-8
28,3,4
27,9,-11
26,7,2
31,1,0
31,10,-1
33,-7,2
32,-9,5
26,-3,6
38,-12,3
30,15,-7
39,3,-4
26,10,-7
28,7,-6
30,9,-17
19,11,-5
28,1,6
28,13,-4
26,8,-8
27,3,1
23,4,-4
37,-7,2
36,5,-2
46,-1,7
32,7,10
36,1,15
30,-1,2
43,-12,13
31,-1,7
34,-19,13
26,-4,0
33,-2,0
22,7,-4
27,-5,-1
17,0,-8
23,4,-2
18,10,-8
27,19,-23
32,-8,6
30,-3,-3
52,0,13
31,1,22
35,15,-7
34,8,1
14,-2,11
22,2,3
25,-19,25
43,-3,17
23,1,-5
38,7,1
32,-1,9
20,-11,11
46,9,-7
23,11,3
5,-4,4
53,-2,0
48,4,5
31,-3,5
20,-6,-1
29,5,-5
31,10,-4
18,-2,7
37,6,-4
14,13,-12
18,3,-1
53,-22,14
32,-8,3
