ax,ay,az
34,5,-4
29,2,0
30,3,-2
29,1,-2
34,4,2
35,5,-1
30,5,-1
30,2,0
27,4,-4
27,2,-3
35,3,0
31,4,2
30,3,0
26,11,-3
30,4,4
32,-7,10
35,1,1
29,-15,3
25,2,2
29,-1,5
34,-3,17
30,0,20
33,9,1
32,-8,4
14,18,4
27,2,13
34,-1,14
27,-2,11
31,-3,5
25,-6,5
28,-8,17
38,5,6
35,4,-2
25,-5,13
37,13,7
26,-9,3
35,17,2
27,-7,-1
35,21,1
22,-10,9
35,12,3
16,-11,8
31,-11,-1
34,3,7
24,-5,16
27,4,-11
29,14,3
27,-3,20
28,-18,3
35,-4,3
35,20,7
20,3,-3
28,3,6
30,-14,16
38,8,-4
21,-14,6
20,-8,0
29,-2,11
28,8,-7
39,11,-2
34,-5,6
30,0,8
33,8,-2
42,18,-14
27,13,9
20,3,13
38,-2,8
34,-17,2
24,2,5
34,0,17
38,-5,5
18,1,9
23,-13,24
30,4,-1
29,7,6
27,-12,6
37,0,22
48,-3,9
24,16,-9
22,4,-18
35,8,13
28,14,6
52,-8,14
34,-3,18
21,-13,-6
22,-14,14
35,5,-5
16,17,4
24,17,-10
36,8,-9
32,-5,16
32,-3,16
37,-3,7
35,0,2
27,5,12
26,4,6
47,-10,11
39,-12,24
16,-6,21
42,-5,-4
37,-6,24
27,14,-3
23,11,1
37,22,-8
39,12,-4
17,-6,-1
14,-4,7
48,14,-7
43,16,-2
26,9,14
42,9,-2
31,-1,4
42,14,-7
16,-1,0
41,-3,-2
24,-6,-5
26,-9,-2
26,6,21
30,5,1
34,1,9
21,4,5
44,20,-10
51,3,4
14,-20,10
17,6,-2
27,10,-6
39,-9,11
21,-7,7
16,-7,-10
24,-5,-12
40,-4,-5
41,1,-10
31,-2,14
28,8,4
27,-8,2
34,-9,2
44,2,-8
33,2,8
31,-7,-10
37,-3,-9
42,1,8
28,4,-14
31,3,16
33,-6,-7
36,-16,30
32,-4,-1
26,13,-8
35,-1,-17
39,11,10
40,12,-13
35,-8,10
29,5,10
7,-1,-5
32,20,-24
47,-4,7
21,-2,24
23,3,-16
40,4,-28
47,6,0
24,-3,16
17,0,12
