ax,ay,az
32,1,-6
30,6,-6
30,2,-6
31,-1,-1
28,2,-7
27,2,-7
30,0,0
32,1,-3
30,2,-4
30,2,-2
32,0,0
32,3,-4
27,1,-2
30,-1,-4
30,6,5
36,3,-1
26,4,2
32,-2,6
30,-3,8
23,1,2
34,-5,11
29,-3,9
30,3,-2
35,7,9
28,-4,13
32,0,-4
25,0,8
32,-14,7
25,-9,10
24,2,6
31,0,3
37,-6,-2
21,3,5
34,4,-17
29,3,-13
43,-5,16
30,-12,16
37,3,-2
40,-3,14
37,13,10
20,-6,21
13,1,23
26,11,8
15,-5,10
25,10,1
18,-11,15
14,1,13
13,-12,22
14,-20,21
16,18,1
31,6,3
24,-1,0
12,-14,14
22,3,-10
38,6,1
16,4,15
16,-16,24
34,5,31
33,8,19
43,5,2
38,3,-4
23,2,22
16,-3,19
3,12,-11
71,-40,28
29,-12,19
12,12,9
38,-11,22
31,12,6
58,12,-7
61,-2,4
26,5,-9
41,-7,19
49,-9,-12
29,-10,24
41,-5,-14
16,10,41
23,-2,35
39,-4,-7
34,5,14
27,6,27
31,-25,10
19,5,30
22,-14,-4
2,4,20
43,21,0
53,-3,-38
13,13,-3
47,31,-1
47,-1,47
31,-3,21
