ax,ay,az
34,3,4
28,1,2
27,3,0
29,3,5
30,2,2
34,3,6
33,4,6
31,-1,1
30,-3,4
28,3,0
28,1,3
31,-1,5
32,0,2
31,3,4
29,2,0
28,2,3
28,1,1
30,0,5
33,4,3
33,2,4
29,-1,1
30,-1,1
27,1,2
27,2,3
34,3,6
31,1,4
34,2,0
34,0,6
36,4,-3
32,-1,5
34,4,10
29,4,5
31,7,6
29,-2,3
29,1,6
30,4,5
31,2,5
29,-9,8
30,-1,6
30,1,10
32,-1,20
28,4,6
29,9,10
32,-3,7
31,7,6
32,12,-3
28,6,2
28,-3,-2
35,-7,1
31,1,12
23,13,9
27,2,4
31,-5,7
27,7,16
31,0,-4
27,-1,17
36,-4,3
29,1,12
23,6,11
39,-7,-7
35,15,-4
31,6,12
25,1,14
23,1,12
22,2,9
30,3,10
23,-1,10
21,-7,14
22,-3,11
26,-11,14
25,-9,16
20,5,0
30,0,5
30,7,-1
32,15,-8
28,3,-2
32,10,2
28,-6,7
26,-3,10
18,-2,8
26,-8,19
32,1,8
35,0,11
18,3,11
31,-4,17
35,-7,13
25,-7,14
29,2,4
45,10,-5
42,13,-3
34,3,10
35,9,17
15,10,5
12,2,14
29,-5,24
28,-1,12
27,3,8
36,2,8
34,-7,-2
32,-4,4
33,-4,9
31,-6,13
28,9,4
32,9,1
32,2,8
38,-4,8
27,-11,17
20,-4,10
10,-1,3
6,0,5
30,-12,23
42,-14,29
33,8,11
22,12,-1
39,0,11
45,6,9
39,-27,34
42,-14,22
38,-13,5
35,-8,3
38,-20,22
22,4,15
43,-2,7
43,-4,19
26,11,4
24,12,-2
40,6,12
24,-13,26
20,-2,5
30,5,-6
12,-11,29
24,-4,-7
31,-13,26
27,-13,16
16,-3,15
21,25,-6
29,3,-5
32,3,16
27,-7,14
20,-5,2
23,11,5
33,-4,17
32,-1,-11
31,7,9
33,6,14
33,3,20
31,8,5
35,6,11
22,-2,3
30,-8,-3
19,-13,32
21,3,0
36,-6,21
23,2,23
12,16,13
36,5,17
41,-19,16
17,7,-4
32,-4,11
38,-4,14
17,-11,17
4,-2,-24
37,-4,-3
26,-9,16
41,12,-10
12,-7,3
26,1,-6
43,8,-5
39,-2,21
31,6,16
26,-9,11
31,2,-5
32,-1,8
24,10,4
22,1,-1
25,-1,1
33,-16,23
37,-5,1
16,1,7
36,-8,5
41,-5,6
31,-2,10
24,-6,0
37,-2,23
33,6,-4
38,8,-11
34,4,5
36,-8,3
33,10,17
26,-3,2
35,-3,4
34,-8,18
26,4,15
16,7,4
19,-8,-3
35,3,23
36,9,-12
14,8,5
31,-12,4
38,11,15
38,-7,18
16,2,5
13,3,25
45,-3,-4
45,2,17
18,5,7
18,-2,-9
32,-9,25
38,-7,28
32,-7,1
23,5,4
24,3,9
30,4,2
42,-8,7
35,6,7
17,11,13
13,2,12
36,0,-13
41,-2,-1
32,-1,19
23,10,9
16,-2,24
22,2,10
34,-2,1
38,-3,10
40,0,8
40,9,-6
30,16,-7
16,2,15
22,-6,14
32,-13,18
23,-8,13
25,5,1
27,6,-5
23,1,10
17,1,18
23,-9,11
26,-13,10
31,-9,20
30,-6,13
25,9,5
33,15,-11
28,6,0
27,9,6
25,9,-3
39,11,1
38,-9,9
36,-9,9
32,1,8
32,-14,23
14,15,-10
30,16,3
33,13,-2
37,10,0
35,9,0
18,5,11
9,-18,20
32,-5,10
47,-2,-10
41,-7,14
11,-3,28
16,-1,5
64,14,-16
28,12,10
17,11,4
19,4,-8
37,8,4
4,-11,14
17,0,-1
36,9,-7
23,-13,10
15,-9,9
38,7,0
22,-15,10
24,-5,-4
55,3,1
23,-23,20
22,0,13
30,-8,11
30,8,7
18,9,15
30,7,5
49,12,-12
36,-4,21
33,10,9
44,2,-14
34,-1,16
39,6,4
35,4,5
49,10,-5
18,-5,18
28,5,8
42,-5,4
42,0,12
24,-10,14
53,8,-2
35,7,-5
37,-1,22
8,5,4
42,0,-8
32,0,8
40,-13,10
33,1,10
18,6,7
39,0,-10
49,11,2
22,-3,18
19,-3,4
41,14,-15
48,13,-4
29,-13,8
23,1,6
30,-6,-9
31,1,-4
30,4,3
20,-10,14
19,-1,3
28,8,9
14,0,10
34,-11,4
42,5,-2
40,9,-6
40,-3,16
38,-1,-6
39,-10,1
15,-2,12
11,-1,20
20,10,9
15,1,4
30,-11,1
34,-7,2
40,-7,-12
43,6,-3
20,8,9
16,-3,16
33,2,3
19,0,11
20,-9,-2
27,-6,-26
40,0,10
28,-6,4
42,5,3
-1,1,5
38,7,-42
32,-1,-14
69,14,17
62,10,22
6,26,-18
-2,0,18
