ax,ay,az
31,0,-2
31,0,-1
31,3,0
32,3,1
28,4,-3
28,4,-1
32,5,-4
32,4,-3
25,2,-2
28,3,-2
28,-1,0
38,6,-12
35,8,2
29,-4,-1
29,5,-5
32,-8,5
33,-3,1
33,4,-2
33,3,2
33,-2,0
31,7,3
31,5,-1
25,9,-6
29,1,10
23,-1,7
23,5,-5
34,9,-5
29,-3,4
28,3,7
41,6,-1
31,1,4
21,-2,6
32,4,-3
21,-4,9
28,-1,0
30,-1,5
31,-5,8
33,7,-4
28,8,2
30,8,-7
31,3,12
30,-2,3
28,3,7
27,-3,1
31,-6,12
34,-1,3
29,6,2
29,0,4
28,-2,11
32,2,3
33,0,11
35,4,5
37,0,13
26,-9,4
35,2,6
31,3,-2
28,-2,11
27,6,3
32,-1,7
33,5,5
27,3,8
34,3,3
28,0,0
21,-4,16
30,13,3
34,-7,4
21,2,6
24,13,-6
37,-9,10
32,-8,8
21,14,-13
33,-2,10
32,-6,-2
39,-8,-14
31,11,9
27,19,1
28,8,-5
30,-7,5
34,-4,7
26,8,3
28,5,1
43,9,3
31,7,1
28,-6,4
38,-1,4
33,-6,4
35,3,-13
23,13,-5
31,8,-1
25,7,0
32,1,3
26,4,-1
29,-10,12
37,-5,3
39,-4,6
38,-1,8
30,-6,0
35,-10,16
20,2,3
34,-12,8
28,14,-23
25,13,-6
22,7,0
23,8,-15
23,8,-19
24,14,-15
18,19,-21
24,7,-11
21,6,-8
20,9,-12
17,13,-21
17,17,-6
24,16,0
23,8,-14
24,-3,-5
20,-4,1
39,-13,14
38,-4,1
46,-4,12
35,-3,19
36,14,-14
40,13,0
13,15,-2
19,7,-9
30,0,7
20,-8,-10
41,-12,16
41,-10,0
25,3,-16
28,14,-30
27,-2,4
24,3,2
37,10,-1
28,4,-13
20,-4,18
22,-9,18
17,-9,3
47,-11,4
23,-12,8
21,12,-8
48,10,-18
40,16,-13
45,-3,16
40,10,-4
28,4,-21
24,-5,-6
25,3,-5
30,11,-3
36,-1,0
31,-4,-6
25,7,-2
31,2,-3
30,-8,3
27,6,2
31,6,-11
25,9,6
31,1,5
38,-1,-13
31,6,-18
20,-1,14
30,-5,4
39,-5,-9
39,2,1
34,6,-2
23,9,4
18,13,-1
18,3,-13
38,0,3
34,-9,10
36,7,-25
34,10,2
12,18,8
35,19,-7
43,8,-26
22,4,15
17,1,7
32,-5,-3
40,-8,-13
35,8,-12
36,2,10
28,4,12
32,2,-15
38,-9,20
32,2,1
16,11,-26
42,-4,6
30,-4,6
8,6,-2
44,8,-16
39,-7,-11
43,9,-21
51,7,-8
38,-3,3
30,5,-3
20,15,-6
39,-3,-24
25,4,26
25,11,-3
25,7,-9
47,-2,-14
30,-5,5
