ax,ay,az
29,2,-1
28,1,0
28,2,2
33,3,2
34,1,-2
29,-1,0
31,0,-2
26,2,1
34,2,2
37,3,-4
30,3,1
34,1,-4
26,-2,2
34,6,5
31,1,9
32,2,5
26,2,0
27,12,4
40,-10,-3
26,0,6
24,15,6
27,12,-4
34,8,-5
35,4,4
31,-7,10
41,13,-12
30,9,3
31,7,-10
27,13,3
31,8,-7
27,7,6
33,16,-10
24,0,8
39,20,-10
24,-5,10
36,17,-5
23,-5,7
34,5,8
26,-2,2
31,-5,19
27,3,-2
29,-6,14
31,5,0
32,9,7
34,0,1
37,14,4
29,-5,5
44,20,2
23,-8,10
43,10,10
26,-2,14
36,7,7
32,7,11
35,-10,18
43,17,-2
48,11,-6
39,-8,17
25,19,10
38,10,1
32,1,0
38,13,7
35,-16,25
31,-18,16
12,5,5
26,-1,10
37,-11,9
20,-14,21
12,3,4
26,10,-13
47,5,3
41,-12,23
29,-3,4
27,-3,5
14,25,-6
19,21,0
34,1,13
35,-2,14
51,-5,-1
39,5,-13
49,13,3
56,4,6
