ax,ay,az
31,-2,-1
29,3,-5
28,5,-8
32,1,-1
33,0,1
30,-2,-1
30,0,-2
29,5,-9
28,1,-3
33,-1,3
32,4,-3
31,3,-5
33,1,-3
29,0,1
39,3,-11
34,8,-2
28,0,2
31,1,2
29,-3,-3
37,-8,-10
29,3,-5
32,-2,3
38,8,-23
25,0,3
33,-5,14
35,2,-9
29,-2,5
27,12,12
28,-7,7
25,-4,8
32,7,1
36,8,0
28,-8,11
27,-7,12
38,6,-8
31,7,-11
27,5,2
32,-1,9
25,8,6
37,9,11
26,-7,13
31,-2,13
32,3,-1
27,1,9
22,-11,8
19,-2,3
29,-5,6
31,-11,12
30,10,-9
37,2,1
30,22,-3
30,13,8
30,-3,1
16,-1,21
31,-15,9
50,-9,-1
35,6,5
26,-6,11
41,4,15
47,8,7
40,15,8
16,-10,9
32,7,-5
16,5,13
6,-16,21
25,7,13
36,-3,22
44,0,23
41,38,-4
72,26,-13
7,38,7
48,16,-6
22,16,-22
18,-5,-12
17,-6,1
15,-20,0
-2,-22,4
16,13,-9
8,7,19
22,21,8
33,18,-8
29,12,-16
54,-9,33
41,-2,19
11,6,10
15,13,6
31,-7,4
39,2,-7
25,-18,23
12,24,13
45,17,-15
28,-2,44
24,-14,32
45,-2,-12
31,4,-4
-11,19,42
30,-16,7
56,7,-9
53,10,7
44,-24,6
2,4,38
38,-30,7
12,7,20
40,-19,-2
21,6,25
53,-7,-45
0,28,5
-4,19,28
38,-25,-22
59,-15,-11
34,29,-12
59,8,-17
27,22,24
41,1,1
37,4,-10
42,-4,3
52,-13,20
20,-2,30
25,-9,8
36,-4,0
17,-5,5
28,-13,13
34,-3,6
59,-10,11
26,-6,6
67,2,-18
13,6,25
65,2,-5
4,-15,35
4,-4,-6
13,-9,-6
