ax,ay,az
29,-2,-2
31,-3,-1
33,6,-2
32,5,-3
32,0,-2
29,0,0
28,7,-7
29,5,-7
30,-2,3
32,3,0
32,5,-4
30,3,-2
30,-2,2
30,1,-1
29,-1,-2
29,3,1
33,2,-2
36,0,-1
34,9,1
41,1,-14
31,3,-3
30,5,-3
34,-1,-8
29,-8,12
39,5,-7
40,2,-21
27,-1,5
42,0,-2
30,-4,1
20,3,4
26,9,-6
27,3,-11
26,4,2
35,3,-3
38,-5,-13
32,3,5
33,2,9
30,3,-3
27,-1,2
29,10,8
20,12,6
22,-3,-2
27,-2,0
29,-4,6
32,-8,10
41,-4,2
36,0,3
39,17,8
26,12,0
42,5,0
31,7,-6
41,-3,3
43,-6,9
38,6,-3
23,11,6
27,10,11
29,-14,10
33,-19,14
27,-13,10
24,-7,3
30,-5,9
36,-14,9
38,9,-15
46,2,-3
45,-5,9
36,6,-2
38,-1,9
31,-7,6
40,8,-16
38,8,-7
41,-11,12
38,-11,9
26,9,0
27,-1,-2
41,-1,-10
46,-9,1
26,-4,2
18,0,-3
18,12,-5
33,0,2
17,6,6
19,-5,2
48,-5,6
31,3,1
33,4,21
37,8,-6
37,-7,17
47,5,11
47,-9,10
45,-3,19
35,-8,18
44,-3,-8
36,-3,6
26,-15,25
23,-6,0
38,-7,15
25,15,-5
31,20,-10
27,5,3
47,4,5
51,3,-1
62,-1,16
45,10,-1
38,8,-6
41,-1,21
38,-13,13
28,2,-5
33,6,15
16,6,8
41,12,-13
13,-2,4
17,-2,6
32,6,4
31,12,-6
40,-8,5
55,-18,-2
20,5,9
17,-1,1
20,-1,28
19,-3,50
23,15,13
11,-8,20
11,-2,37
27,-12,18
33,3,-5
50,11,-7
26,-6,-14
34,-25,-15
30,20,-35
42,-11,-15
32,-15,-21
24,1,2
35,-15,5
30,5,-9
16,-11,-6
32,4,-4
28,-6,3
30,-1,-10
23,-13,17
38,12,-18
15,-1,-6
41,10,-12
39,1,-14
22,-2,14
23,18,-17
39,-5,-18
25,-11,-4
31,10,-17
32,3,2
18,5,0
24,6,25
49,5,-13
27,-2,1
28,4,1
37,-14,-1
42,6,-14
3,6,19
15,-7,3
37,-4,18
39,-3,-14
32,1,0
25,8,16
19,7,-19
39,-8,7
43,-8,17
29,-1,-7
33,-1,-9
28,15,-1
18,10,0
30,-1,7
41,16,-20
28,-1,1
17,-1,6
32,-1,-13
24,-13,2
44,5,6
49,5,-15
37,17,10
32,9,23
17,-1,1
21,8,4
26,-11,-11
21,-6,-10
13,-7,0
30,-11,-39
42,11,7
7,12,7
53,6,-23
38,9,8
33,11,20
34,7,4
63,3,9
33,-6,6
46,-2,17
54,3,-32
63,9,-7
28,2,11
54,19,2
27,-11,0
47,9,-6
18,-11,28
52,15,-14
42,3,-20
33,1,26
31,12,5
51,5,-9
57,3,-3
36,1,24
43,-7,-13
11,12,-5
36,4,6
46,-9,-2
30,3,3
20,4,6
39,-16,-12
30,-1,-12
16,0,-1
49,39,-1
14,3,-9
26,12,-8
47,-5,-3
37,7,-3
22,0,3
35,2,-6
42,9,-8
28,10,7
29,2,-15
33,3,-16
24,1,9
26,2,-8
38,3,-23
21,6,4
24,-8,10
38,0,9
26,-2,-3
29,3,6
29,7,-3
31,17,-22
29,5,4
16,2,1
31,2,-11
37,5,-9
33,9,-5
30,-7,-2
33,10,-12
42,3,-10
35,6,-2
32,8,-4
