ax,ay,az
42,7,-18
22,-13,11
15,-17,7
31,-9,5
42,8,-3
25,-5,7
35,6,-12
57,8,-18
35,1,5
35,7,-2
34,-2,11
29,2,-7
30,6,-1
25,-2,2
20,-1,-5
35,7,-3
19,-3,-6
26,9,-2
29,-8,-3
38,7,-8
20,-8,14
34,7,-5
26,-7,1
20,10,-1
23,-3,-5
30,11,-16
26,-3,-5
34,5,-8
17,-6,6
37,-6,4
13,-4,0
26,-6,4
38,3,-12
27,-1,-1
26,-1,8
44,1,8
30,-3,-13
44,-2,-3
37,-1,9
16,-4,6
39,3,-26
58,-6,-2
46,-5,12
24,-10,8
27,-1,-12
29,8,5
41,11,-21
37,-10,-19
15,0,-8
12,2,19
35,-2,-26
30,-18,17
32,-7,17
46,-1,-4
47,-1,9
33,-9,11
29,6,-5
19,4,-10
40,-30,1
53,8,5
23,-3,-11
42,-4,8
26,1,-5
48,16,-13
44,4,-11
36,-3,1
32,1,-22
39,4,-8
35,5,-3
30,5,1
40,2,-27
41,0,-8
35,2,-6
39,1,-15
22,10,-6
28,-10,-14
42,7,-3
41,-8,-18
24,-2,6
23,13,-11
42,4,-6
53,4,3
20,-11,23
30,-5,-38
38,0,-33
2,3,7
53,-7,3
21,23,-54
19,-11,18
41,1,30
31,9,-4
42,6,-12
33,2,-3
48,-8,-4
36,-9,8
30,0,-8
48,-10,10
30,8,-16
26,-12,13
36,6,-20
41,1,13
36,11,-14
16,7,6
9,-2,-15
31,3,-28
28,3,12
29,5,-15
26,-20,20
24,13,-1
39,-10,-1
16,4,-25
39,-20,17
61,-8,8
30,-3,-21
10,-1,10
20,12,-20
19,2,-1
37,-11,7
39,2,-8
48,9,-20
45,-10,19
28,10,-4
36,9,-22
27,-5,5
16,-6,16
20,-7,8
29,6,-6
35,-2,6
34,-8,-4
24,9,-19
30,12,-11
34,-5,4
35,-1,-10
36,3,-6
25,-2,-13
34,13,-27
23,7,13
19,2,-9
27,2,-19
21,-6,11
24,-18,20
29,-1,-26
40,-9,16
24,9,-4
45,12,-15
16,8,-4
23,5,-17
26,-8,8
28,-3,-6
39,2,-9
39,11,1
30,12,-5
41,12,-29
35,16,-10
35,-8,20
36,6,-14
44,-5,6
53,1,1
42,2,-8
34,-1,-1
30,6,6
22,-3,0
19,-12,-6
22,-15,6
23,-10,9
26,-13,-8
33,2,-7
29,4,-11
36,10,-4
39,9,-5
41,17,-16
29,9,-22
26,-9,5
16,-13,9
17,-8,2
17,-13,18
35,6,-4
47,6,-12
41,7,0
34,13,-6
24,17,-18
15,4,10
9,-14,4
21,-8,-5
42,-9,-7
51,6,-12
45,1,-22
-11,1,23
48,4,-28
42,13,-5
34,3,15
44,13,-24
15,-6,10
10,-24,11
18,-5,-27
56,2,-31
14,15,-8
32,9,0
15,3,-16
34,14,9
59,13,-50
76,-5,3
38,10,-5
-12,-7,-12
59,-7,5
-3,-4,-3
12,-26,14
35,-23,9
75,-6,-1
40,10,-23
66,-27,62
-11,20,-39
25,0,5
54,3,-9
30,3,-14
24,17,-7
43,14,-4
36,-1,-5
40,8,-4
37,-5,7
7,-5,-3
29,-1,7
45,-3,-22
22,0,3
13,-30,9
46,-6,-22
21,1,1
31,-9,5
20,-4,16
29,11,-10
28,10,-7
44,2,8
42,13,-25
27,2,17
38,15,-16
39,8,-26
38,8,-6
51,10,-1
25,-8,-6
47,6,2
32,-4,4
29,2,-9
32,11,-13
34,-3,6
14,-3,2
22,-7,9
5,6,-3
35,4,-3
43,-8,-1
11,5,-2
34,13,-30
25,3,-1
14,-14,-8
6,-9,-6
17,-7,-2
50,7,10
21,-1,-22
36,-11,35
0,-4,17
64,-1,4
34,1,7
36,-6,17
32,7,-18
42,-11,30
32,-4,11
30,-5,-12
36,7,6
32,-8,-3
45,7,-18
26,-1,14
41,6,10
28,-3,-12
25,8,3
29,-2,4
49,11,-3
23,-11,21
58,12,-2
29,-13,20
45,5,2
24,-1,-17
39,-8,30
36,-2,-7
46,0,13
28,-1,-1
20,4,-16
35,7,7
