ax,ay,az
36,-9,-11
14,-3,2
19,14,-13
32,1,-9
38,-12,12
8,-8,-7
16,0,-12
48,7,-10
15,17,-19
41,4,2
33,4,-7
40,2,-6
29,2,-5
9,0,-10
36,-16,4
48,5,-6
8,8,-5
19,-14,15
22,7,-16
12,-5,2
37,10,-20
26,21,-36
56,4,3
33,10,-15
19,6,-1
23,6,4
32,6,-29
27,3,-1
16,-6,-2
23,-9,2
33,6,5
24,3,3
28,6,-2
26,7,-28
43,3,-5
47,2,10
0,6,-8
40,-5,6
31,-7,-7
23,-2,-7
23,-4,2
25,3,-11
21,8,-15
28,-5,-5
23,-2,-10
34,-5,5
41,-5,15
30,9,-27
52,-1,2
33,-1,-9
30,0,-8
34,1,-18
28,6,-2
-1,9,1
19,-1,-23
33,0,-9
16,-10,-13
43,-8,0
45,6,0
43,-1,-1
25,9,-16
44,5,3
30,-1,-4
29,7,-28
36,1,20
13,5,3
41,8,-17
47,-14,29
37,-3,-19
40,-2,-15
29,4,-11
8,13,-6
16,0,14
18,-3,-28
44,-5,-2
31,-7,-4
34,-7,-15
33,4,9
30,6,-17
26,2,-6
31,11,4
23,-4,3
33,-1,-1
30,-6,6
41,-3,-26
37,-4,-5
20,1,7
15,1,-2
28,-3,5
29,3,0
26,-1,-19
32,-14,9
15,-7,11
28,-5,-11
33,2,-19
20,-2,12
5,3,-9
33,5,-31
32,-4,4
16,-1,-13
15,-6,-10
37,0,-1
40,-3,-15
23,1,-11
21,15,-10
39,5,-7
34,7,-1
34,14,0
38,9,-3
27,7,-9
34,7,-24
17,-7,0
21,-10,-4
34,-7,-7
36,6,-9
31,-9,-9
24,3,-7
26,9,-3
22,16,-3
27,0,-3
29,4,-18
40,1,10
30,-11,15
31,1,-8
52,-4,-7
49,-5,-39
27,-7,4
25,8,9
42,12,-27
41,11,5
33,14,-54
31,-5,17
52,8,22
27,8,-24
57,-1,36
-15,6,-38
81,-23,73
12,-6,-8
-20,-7,-42
17,-3,57
25,27,-94
83,-20,50
22,29,-4
30,-16,20
78,-5,-16
11,2,-44
2,-11,22
-4,2,-37
34,-12,-3
28,20,-5
23,-3,1
17,1,-22
45,-9,0
26,8,0
9,20,-23
30,12,-15
40,-17,7
21,1,-22
9,2,1
32,-5,7
23,4,-20
24,10,-1
30,5,-5
35,16,-18
30,9,-20
18,10,-7
19,-1,5
24,9,-8
33,0,3
46,2,4
26,9,-20
15,10,2
25,18,-21
14,3,-1
24,-2,-8
42,-2,0
46,-15,3
19,15,-18
21,0,3
40,16,-38
33,9,-32
22,-4,9
23,-6,-4
49,2,-4
62,-3,-10
29,-8,-3
27,-11,-11
21,6,-11
33,6,-2
40,-1,-19
38,-7,4
21,1,-20
29,5,-6
19,1,5
14,1,-19
30,3,-21
41,18,-11
18,5,-1
24,1,-11
37,-3,-5
25,7,-10
26,4,-2
26,-1,-8
29,-6,-8
36,15,-27
28,1,8
28,4,-9
41,-1,-15
33,4,-20
30,1,-1
22,1,4
32,-4,-14
39,2,10
30,8,-13
28,9,-8
43,-8,-2
28,1,-5
25,5,-5
31,15,-10
33,-1,-1
35,-5,3
39,-6,-1
25,4,6
21,4,-8
29,-3,-8
29,-2,-1
35,6,-8
44,-5,11
28,12,-25
36,6,-2
28,-4,14
23,0,-13
40,-5,-13
37,-3,-3
32,-2,0
32,13,4
31,17,-26
