ax,ay,az
29,4,-31
17,-5,-10
31,8,-1
33,-5,-6
13,-1,0
28,0,-1
30,-1,-17
21,1,-3
24,-1,5
27,3,10
25,-9,-10
60,-3,-14
19,5,-16
28,-10,7
44,6,7
48,-8,17
48,-4,-9
33,11,-4
42,-8,21
28,-10,-4
29,0,4
44,6,5
30,-10,-15
17,7,13
37,14,-27
45,0,-25
11,6,-11
33,-4,4
46,-6,15
20,-7,-25
26,13,-25
-6,7,4
28,11,-5
32,10,-17
35,-10,26
12,10,-23
29,-8,5
41,7,0
38,-3,-13
25,-4,-5
8,6,11
25,14,-16
32,7,-1
26,-1,-3
29,7,-21
15,-3,13
34,1,-3
40,11,-10
54,-5,7
29,-4,7
20,-12,-2
36,0,1
27,1,11
36,11,-21
39,-5,-4
10,4,-7
11,5,-7
21,-6,-16
27,-1,8
49,-1,-6
31,-1,16
38,6,2
42,-9,9
29,-5,-1
28,-6,-5
27,3,-1
17,-2,4
18,-3,-3
24,-2,-5
53,1,-4
30,5,-4
34,-2,7
28,-7,3
32,3,-25
36,0,-13
17,9,-17
25,8,-1
23,6,-20
29,-2,-4
24,0,6
31,-10,-5
30,-4,4
32,-2,-9
17,9,2
15,6,3
29,-6,-19
28,-9,10
34,2,-16
37,-6,17
30,6,-5
38,0,-9
58,4,2
23,12,-18
32,0,-12
26,1,-3
32,-2,-15
43,-6,5
33,13,-8
27,7,-9
34,7,9
19,16,-24
45,-1,-4
20,0,-5
29,0,-12
36,2,6
36,1,-9
32,3,4
40,-2,10
33,3,-19
30,12,-8
18,-16,-3
27,-10,2
32,-7,5
31,-2,-2
26,-3,-9
40,-1,-26
30,7,0
21,0,9
25,0,-2
35,3,-3
51,-10,13
33,-5,15
23,8,-8
35,11,-11
19,-16,-13
19,-2,0
36,1,3
27,4,-29
33,3,1
29,5,-6
31,2,0
27,4,-3
17,7,5
35,2,-4
30,-2,-3
37,-5,4
45,1,5
26,8,-21
33,-1,-11
29,-3,-9
18,-4,-6
33,-8,1
24,3,1
34,-1,-3
25,-3,-19
30,1,-9
28,2,3
31,3,11
45,-2,1
30,7,-21
39,-1,5
29,8,2
24,8,-5
30,-4,-1
21,4,-16
49,-13,14
41,-5,0
