ax,ay,az
19,3,1
46,6,-2
33,3,-10
23,-13,-2
14,4,11
31,1,-39
21,12,-40
10,-1,11
33,-5,-13
19,21,-30
63,-11,33
54,16,1
40,-13,3
5,15,-8
43,-2,-10
48,-6,12
33,-9,-6
43,6,-13
37,0,-3
17,-11,7
43,3,2
48,0,1
25,-5,9
27,-8,-1
39,6,3
41,0,-22
18,4,-8
18,6,-3
36,11,-22
28,7,-19
16,11,-6
32,0,8
25,-10,-5
31,2,-2
30,2,-11
28,3,13
23,-7,-27
29,-1,-7
50,4,0
23,-8,9
34,2,-1
38,0,-11
41,-8,22
19,-5,-13
26,6,5
37,9,-17
25,-6,-10
24,7,-7
22,15,-17
41,-10,-14
19,3,-22
31,1,6
39,7,-4
24,-4,-9
17,-1,-6
29,-3,0
42,3,5
17,-4,-11
35,-10,1
44,3,-1
53,-20,6
25,-10,20
46,1,-11
38,7,-3
34,-9,0
8,16,-28
38,-3,12
35,10,-14
32,-10,-17
31,3,11
37,-1,-1
34,6,-26
19,-7,15
21,3,14
49,7,-10
21,-6,9
3,6,-27
39,0,-16
32,12,1
32,-8,9
36,-15,8
34,-1,6
38,-4,2
34,-7,-8
17,1,1
27,5,-9
32,5,-21
22,-12,-1
10,5,1
27,-4,-11
36,-5,15
34,4,-9
36,-9,1
36,8,-23
37,10,12
43,-9,9
24,-3,-12
29,-9,13
25,6,-11
41,-2,-16
27,1,-13
23,5,-15
34,7,-8
36,-4,-6
20,9,-10
20,-8,-5
25,1,3
45,-2,1
26,4,-4
31,-14,-3
24,1,-1
40,2,2
41,-7,8
38,-9,-10
30,-2,-4
20,-3,-1
36,2,-9
36,0,0
21,3,-2
20,7,-11
35,-10,13
25,1,-12
30,2,-13
14,-5,15
32,6,-27
48,7,4
40,-4,1
18,3,-10
33,-4,8
36,15,-14
31,-1,-4
29,-6,-4
23,-1,-9
28,4,-8
29,-5,-8
28,1,-7
36,-1,-6
26,2,2
29,-8,-4
38,-6,5
35,6,-2
48,4,-9
45,-5,21
11,-12,-2
48,-17,7
59,4,0
-36,2,8
-1,-11,17
20,0,-10
92,-9,4
-7,29,-51
40,2,-21
27,-13,24
23,3,8
7,43,-42
17,19,-28
37,-2,6
55,-3,-18
37,6,-12
6,8,-13
31,20,-25
23,-1,9
17,-6,-7
25,5,-15
34,-3,15
23,6,-5
35,-16,10
25,-1,-19
46,2,12
23,12,-9
39,8,19
46,5,-8
27,-3,-7
35,1,-4
23,14,-29
16,-9,7
22,6,-39
15,4,8
35,5,-2
25,17,-32
58,-6,-9
15,8,-11
15,6,-13
27,5,-5
27,-4,1
25,-13,-1
32,9,3
52,-4,-1
43,-13,19
51,-9,-11
29,-12,-3
22,2,6
27,1,-10
45,15,-7
17,-3,-2
16,-6,-8
37,9,6
34,-1,1
46,-5,11
27,-8,-13
12,1,-5
34,12,-19
33,13,-3
40,4,3
29,-6,4
30,-6,-2
45,0,2
28,3,-6
27,-1,-4
43,-5,1
36,8,-3
39,2,-2
17,9,17
36,9,-16
46,-1,28
26,5,2
38,-9,5
23,8,0
5,5,-27
45,-5,-16
25,10,-23
36,-22,27
42,15,-2
24,1,23
56,-10,8
-21,21,-22
41,-2,3
31,17,-38
43,-11,28
37,9,-29
45,9,-8
29,-5,8
30,-6,-14
35,5,12
41,6,-12
29,3,2
16,10,-24
20,6,-4
31,4,-2
36,-10,8
23,-4,-1
26,-6,-12
32,13,-16
1,6,10
33,4,-17
31,2,-3
38,-2,11
30,-1,1
45,2,17
40,1,-5
41,-8,8
