ax,ay,az
35,-1,-4
37,-2,-4
42,0,-1
0,0,-13
18,-2,3
25,-8,-16
-16,-17,25
68,-10,-43
24,-1,3
9,-15,13
49,11,-57
-6,-7,41
19,-25,64
101,-6,2
45,0,21
19,20,-60
47,5,-31
51,1,22
-1,24,-63
22,27,-19
38,-7,8
24,11,-49
47,-8,3
41,0,19
34,3,-17
26,-13,-4
62,-9,49
16,6,-51
33,8,-9
47,-26,44
1,11,-44
6,5,1
12,-15,55
60,2,1
13,-29,23
40,5,-11
22,7,-19
15,-5,12
19,3,-23
7,13,-48
51,20,-10
0,20,-43
34,19,-6
22,12,-12
45,17,-30
10,-6,-18
40,11,-9
18,-1,1
48,9,-18
5,-5,13
40,5,-21
6,-3,-18
30,-12,23
13,38,-47
37,2,-33
40,-4,-2
42,19,-50
26,-1,8
31,19,-29
45,-4,-1
22,17,-15
39,-11,-5
31,1,6
42,4,-19
11,-6,-18
35,20,1
18,-1,-15
40,1,-22
19,2,1
13,1,0
31,-11,0
18,6,1
37,2,-8
5,-1,-2
28,-9,15
28,-16,-11
31,-5,8
31,-1,1
15,-3,-19
24,1,-2
61,-1,-3
20,-4,6
33,8,6
32,-26,2
29,15,-5
49,-13,4
16,17,-38
15,-1,-4
51,-1,14
32,-3,0
46,-15,10
44,26,-24
43,-23,9
35,6,9
49,10,-6
31,-9,4
25,8,-7
25,14,-19
60,-16,10
27,10,-16
19,11,1
22,1,-6
33,-13,2
32,-7,10
14,0,-9
23,5,-3
32,-10,2
51,6,-22
44,6,-7
39,3,2
30,-2,-13
33,15,-5
41,-10,14
26,-11,-1
18,6,20
47,20,-39
19,4,-15
20,-4,2
40,21,-18
57,-17,20
17,9,-30
43,0,-19
15,7,-10
22,7,-10
15,19,-29
38,1,0
33,-3,9
53,2,-22
29,17,19
52,-12,-14
48,-5,-3
12,-7,14
23,26,-33
67,-19,-1
16,10,-20
15,-8,-6
31,2,-8
25,6,8
19,16,-14
51,-2,-12
45,-6,15
22,-11,-8
21,6,-1
44,-5,24
52,9,-4
50,-4,-14
28,0,-4
28,0,-9
27,1,-9
17,0,-9
31,-22,11
26,-3,0
40,1,-6
55,-15,25
33,3,-26
49,-13,-7
43,1,17
24,-1,14
18,9,-17
41,-2,-4
40,-2,-12
9,-5,36
21,21,-52
33,-6,-16
-3,4,-5
17,-1,-4
25,2,35
39,7,-1
17,4,-16
17,-10,5
23,-3,7
58,14,-15
18,-4,-21
19,-4,10
24,-21,6
39,-4,-2
32,-4,-5
19,0,-2
22,7,4
29,-5,-22
38,-4,-19
17,-6,7
40,3,-6
25,19,-42
49,-8,25
3,4,15
32,-5,-18
40,-16,23
-1,19,-32
10,15,-21
42,3,1
53,3,-15
27,-9,26
24,-13,16
66,-2,-28
54,-17,22
10,19,-43
51,-1,25
36,8,-17
9,11,-14
30,-11,29
31,-25,31
61,5,-30
23,-15,5
45,-18,15
41,8,-17
12,11,18
18,11,-48
41,2,9
35,5,-4
38,-4,-13
48,-8,20
24,5,-2
46,-9,-9
29,9,3
32,9,15
46,6,-24
48,-7,18
24,20,12
35,2,-20
47,-8,-2
11,1,-1
26,-18,1
32,-18,3
49,-2,-14
33,-10,8
18,1,-10
37,-2,-6
31,0,6
26,3,2
27,1,-6
46,0,20
38,-5,19
17,-3,-4
46,12,-23
23,-17,13
19,-15,-6
34,-9,13
21,1,-16
40,-11,-37
54,-10,2
18,9,-10
57,2,-19
48,-6,28
26,-2,-8
32,-2,-13
50,-9,13
32,6,-1
11,11,-21
28,6,-7
47,0,4
34,-7,13
21,3,7
27,18,-11
19,14,-10
23,1,-19
13,7,-25
36,-7,28
30,-21,20
49,2,-43
95,-27,21
37,-9,26
-20,12,-72
50,-11,5
5,10,-18
45,-6,-23
52,-7,-7
47,-19,-5
30,-25,16
59,-17,12
20,-6,-15
-5,1,-1
54,1,-10
76,-25,-18
36,-6,27
62,-47,55
93,-24,24
38,12,-25
18,-30,26
14,8,-26
