ax,ay,az
41,2,-7
39,-3,0
24,5,-21
39,6,-1
37,7,-2
23,-8,7
15,12,3
42,-6,7
43,-2,-10
27,-10,-4
40,-10,4
41,2,3
36,-6,-9
27,-6,5
29,11,-9
27,1,-15
22,2,5
15,6,-23
28,-16,8
33,12,-15
28,15,-21
22,-5,1
41,8,-27
-3,13,3
59,14,-11
24,-3,-26
11,-2,31
-1,6,-17
121,-12,-16
-11,15,-43
29,14,-53
19,-13,20
60,-1,37
24,10,-15
26,10,5
20,-8,20
10,22,-12
40,6,-26
5,-9,13
46,-22,13
47,5,16
37,13,-15
-7,23,-37
27,9,-15
70,3,8
9,-5,14
-8,25,-47
68,-10,31
49,11,16
11,8,-62
-15,9,-57
16,-3,19
99,-45,127
21,30,-35
13,-20,1
-31,16,-43
14,7,-34
109,-4,21
48,1,-2
26,-14,0
22,5,-18
28,-3,-19
15,6,18
47,16,-22
18,6,-12
18,-9,9
-7,9,-36
51,2,0
32,-1,4
41,6,-23
