ax,ay,az
22,7,3
29,8,-13
24,7,-4
16,8,1
27,-4,-11
24,-16,-1
27,1,-4
30,-3,-8
32,-5,-14
35,-3,-12
31,6,-1
31,1,-14
34,9,-6
30,11,-11
40,2,5
36,-4,-7
30,4,-10
30,10,-10
24,6,-2
23,2,-18
37,0,-10
28,-2,17
29,-9,-15
44,-6,-11
43,-4,-6
17,-2,-5
31,-15,10
47,4,-19
39,-5,6
32,-14,5
22,-7,-12
46,7,-2
20,13,-16
29,-2,-1
38,-3,-11
28,-1,3
34,-1,13
30,6,-21
35,-4,20
35,2,4
26,0,-2
61,-9,3
40,2,-6
14,3,11
32,12,3
50,-6,11
27,-2,-4
45,-5,18
33,1,12
36,3,1
24,-2,6
27,-5,0
39,4,-20
36,6,-20
21,2,8
20,9,10
37,8,2
26,19,-14
23,1,-6
36,3,-5
34,7,-8
47,-4,19
28,11,4
24,8,4
45,-1,-11
37,10,-2
32,3,-1
28,4,-6
32,-5,9
22,-2,4
34,6,-1
43,11,-19
29,-22,13
33,-2,-9
36,9,-24
53,1,6
10,13,-8
22,1,-5
54,-16,-7
34,-18,10
26,-2,-15
41,-20,9
34,-5,5
36,-10,7
39,6,-6
42,3,-3
39,9,7
41,-3,-5
44,-7,2
34,-10,-5
36,-13,-5
36,12,7
19,10,-7
31,17,-6
28,0,-2
29,-6,-25
52,-10,-5
24,1,-4
21,-5,7
31,1,1
39,-11,2
37,4,-19
48,7,-23
25,0,-13
47,6,-5
39,0,-1
49,-13,2
38,1,3
11,5,2
39,13,-18
47,2,4
15,-2,-7
24,-8,-15
31,8,-23
37,-3,-2
18,8,-8
27,5,-10
39,-12,3
29,-2,-24
18,0,-15
19,-1,-11
30,-4,2
22,-3,4
29,2,-15
27,13,-13
21,5,-5
32,2,-12
35,-7,-9
33,3,-10
39,6,-15
14,5,3
19,7,0
35,4,-3
34,7,-5
30,4,-17
26,1,-2
23,6,-3
20,11,-3
30,8,-4
27,10,-20
22,-11,-2
26,-2,-11
29,0,-5
25,11,-22
35,7,-8
20,6,-4
29,-4,-11
25,0,-13
29,0,-1
40,-4,-8
29,-1,3
13,2,-10
35,3,-1
36,-2,-20
21,-1,-10
18,-6,-8
22,-5,-6
26,-2,9
32,1,-17
36,-4,-19
30,-7,-2
19,-4,-5
21,8,-2
37,3,-22
19,9,-2
21,-11,-1
