ax,ay,az
14,-10,15
33,15,-8
18,-15,6
47,8,-10
28,4,-6
40,12,4
21,-11,15
51,4,-23
26,-10,30
39,13,-13
20,-6,9
31,12,-11
38,3,-11
47,2,-36
-21,30,-16
0,28,-61
53,-29,29
39,-6,-14
22,16,3
26,3,-7
77,18,-12
46,34,-51
66,-30,36
92,-11,2
42,-33,38
50,3,2
15,-22,6
38,-9,2
26,-15,5
23,13,11
25,2,-13
38,2,0
32,18,-6
19,-7,-13
37,8,-4
19,-3,11
50,11,-20
18,-15,11
41,14,-4
20,-12,-1
39,11,-20
47,5,-8
34,-2,-16
43,13,-10
23,-7,7
38,12,-4
32,-1,-1
44,2,-10
36,4,-4
28,0,-12
37,8,-16
30,-8,9
33,-6,14
30,6,-9
19,-3,-9
44,-3,-2
41,-6,2
26,-3,12
35,1,-13
25,5,-19
46,17,-3
10,4,-18
4,1,3
34,6,-14
27,-4,9
42,12,-19
23,-15,4
17,-6,10
42,10,-22
27,3,-8
29,-1,-7
32,6,-12
23,0,-10
12,-5,-2
23,6,10
57,-7,-37
39,1,12
49,-9,2
6,4,-27
25,-4,18
37,8,-5
44,-3,14
32,-9,-12
34,-18,43
67,-12,40
71,-35,39
38,-4,38
58,-13,10
85,-42,24
80,17,-18
68,-10,-13
55,9,-11
79,-45,47
84,-12,16
12,-1,0
25,7,13
5,-9,-16
52,-1,-13
41,2,-19
5,-10,7
21,11,-30
50,7,-2
33,10,6
13,-3,-29
36,2,-11
18,3,5
27,21,-33
29,-2,-8
22,-7,5
18,17,-34
32,14,-6
19,9,-21
14,2,-10
25,-13,-1
38,-5,-12
49,-2,-1
39,-2,1
15,-6,-1
24,3,-21
46,15,-7
24,10,11
1,-7,-12
39,-5,-25
26,1,16
38,-11,-17
45,-4,1
40,-3,24
27,12,-39
31,-4,-7
32,-10,-2
21,-3,-7
38,8,-4
39,11,-7
31,0,-15
40,0,-14
19,-2,-3
20,2,-11
19,-6,-3
31,4,-16
36,0,-12
24,-2,-9
41,-4,10
7,-7,3
39,-7,-15
25,4,8
18,6,-6
51,8,-34
21,0,2
15,10,-30
15,2,-28
28,-19,26
34,-2,-18
32,12,-13
24,-2,2
47,0,-25
45,3,13
35,4,-18
25,20,-26
21,-5,4
10,16,-31
32,-8,-11
15,-6,3
27,0,-17
31,-6,-19
43,3,21
39,8,-17
58,-7,-15
28,-3,9
38,4,-11
25,13,6
24,7,-6
40,-1,9
24,-9,2
29,6,-18
23,-3,-11
21,-2,10
34,4,-13
54,-2,-15
33,3,-14
42,-4,-5
30,6,15
35,7,-8
50,2,2
43,-8,3
43,1,-4
26,-5,3
38,-2,-13
24,-3,-13
20,-2,3
7,-6,-20
22,-8,-3
32,0,-9
21,15,-24
27,3,4
19,7,-26
42,5,-2
29,3,1
30,-9,-26
57,-5,18
21,6,-4
38,3,-9
37,-11,20
27,5,-44
60,-1,-11
35,10,-11
33,14,-33
27,-5,6
17,-10,-9
32,16,-22
24,-9,13
27,2,-9
32,-2,11
33,1,-6
47,0,-13
31,-15,3
25,4,-18
34,2,-18
26,-8,-1
15,1,2
37,-2,-14
48,1,24
33,13,-22
23,0,-1
26,2,-5
14,-9,-4
22,13,-30
42,4,-5
19,3,15
15,2,-23
36,2,12
10,10,-27
17,-8,-6
27,1,-10
37,-9,1
42,2,-5
50,1,-8
34,-5,12
21,-3,-13
26,3,-15
28,-9,1
24,-11,1
31,2,4
47,3,-5
35,1,1
16,0,3
27,0,-23
16,9,-1
54,7,-1
45,3,-4
32,-13,12
37,-4,-11
16,1,8
26,-5,-19
26,-4,7
40,-1,1
28,4,-24
43,-2,1
30,3,-23
10,5,-13
36,5,2
56,6,-21
35,0,-1
28,0,4
8,0,-7
19,1,-31
32,1,-4
24,16,-10
23,2,-14
30,-4,3
30,3,-11
32,11,-14
41,5,-3
31,0,-9
21,-1,-5
34,-5,7
30,14,-26
30,-4,-2
29,10,-12
15,-3,-10
24,1,-2
30,-4,-5
34,15,-9
21,-7,-12
22,-1,5
40,4,-1
53,6,4
32,-7,-10
21,-3,-4
31,2,-5
37,11,-19
42,-15,-9
8,-2,-4
32,4,-6
35,2,1
36,0,-6
28,0,2
24,-6,1
43,1,-12
48,-4,4
35,5,-4
32,1,-1
28,-6,12
41,5,-11
31,6,-7
26,0,-2
19,-5,3
24,18,-17
28,1,-8
38,2,-27
13,-6,1
28,5,3
32,6,-8
38,-6,8
33,3,-15
30,-1,-7
32,-3,8
29,-1,11
28,-2,-11
30,2,-10
48,-4,-7
31,0,11
28,-5,-8
24,9,-15
42,-1,-3
36,5,-24
17,-1,1
24,2,-8
33,0,-8
30,1,12
17,-4,-17
27,2,-13
45,9,-15
35,-1,8
26,10,-1
36,2,-11
38,0,9
8,-4,-1
14,8,-8
27,-2,1
32,11,-20
27,-5,-8
14,10,-2
35,-18,0
31,2,-5
29,5,-20
42,0,4
43,-4,11
23,5,-14
38,-11,-8
32,3,11
31,5,-17
38,-2,4
27,-10,-7
31,1,12
30,-4,7
30,3,-18
26,-7,-3
25,14,-21
23,-2,-12
21,-2,-15
25,8,-15
24,-4,0
28,-10,0
36,-7,-19
34,-5,13
29,0,9
21,5,-21
41,-1,-5
23,14,-11
31,1,-26
28,0,12
12,-2,6
45,15,-38
33,5,-5
