ax,ay,az
27,1,0
44,7,-47
8,-15,7
42,-2,-23
62,-9,9
34,-15,27
15,23,-43
42,5,35
14,-12,1
67,24,-37
52,14,-3
19,-15,-7
31,10,-55
64,-13,56
32,18,9
13,-8,-23
27,-10,23
23,6,-25
30,1,11
-3,2,-15
43,1,-31
47,1,-12
39,4,-52
8,9,-19
30,-11,29
44,6,22
53,-12,-16
29,9,-13
28,-3,-13
20,0,-27
35,-3,8
41,16,-17
24,-13,-20
26,7,-16
26,18,-33
10,-5,-3
58,6,-14
55,-10,18
22,13,-8
11,6,-20
26,-2,4
41,-7,-23
46,6,-10
24,-10,17
13,10,-17
26,0,-8
41,-1,7
36,1,-35
39,3,-8
24,5,10
26,-6,-9
23,-2,9
24,9,-16
34,-1,-9
34,-6,-5
-2,5,-17
32,4,-30
48,10,-23
30,5,17
31,2,-1
40,-8,-1
27,-6,12
34,0,-4
48,5,-21
33,-10,25
19,-2,-18
34,6,-4
47,-7,11
40,1,-40
32,3,16
11,-6,23
35,-2,-1
71,-11,4
-7,-8,-10
15,-17,12
44,-4,-18
34,11,-2
39,2,-10
21,9,-25
45,-3,0
25,18,-10
20,11,-16
24,-6,1
35,-1,-11
33,7,1
22,0,-12
34,-11,1
41,-2,9
38,1,-9
39,7,-4
34,-1,-17
31,-4,-15
24,-2,-3
16,4,-8
19,-15,3
30,-7,0
44,2,-3
43,0,-6
42,-2,9
30,-3,4
36,-9,-7
30,1,-1
31,6,-9
23,13,-10
37,2,-16
32,-4,-3
29,4,-15
28,-2,10
23,0,-19
22,-7,10
22,0,-4
33,-3,-22
46,2,5
22,9,-11
39,2,-17
25,4,-9
23,5,-10
27,13,-12
21,3,4
35,-10,5
22,-1,-9
28,-3,-6
28,0,-10
8,10,1
27,4,-14
23,-8,-2
30,-1,-20
45,7,-14
36,14,4
27,-3,9
41,-2,7
44,-5,-24
34,-9,-4
10,6,-1
20,3,-14
38,6,-11
26,-3,8
13,-11,-3
27,-1,-16
43,1,-7
25,2,5
11,5,-1
30,-2,-6
49,15,-25
19,-6,11
16,-5,-6
42,4,-17
43,6,-5
38,-3,-8
31,0,15
37,9,-32
46,-5,-9
32,3,-5
17,8,0
38,-5,15
21,10,-16
33,-6,26
16,13,-47
33,-21,-8
30,-10,10
28,12,-35
53,-2,14
29,-4,1
19,-13,-1
49,-10,33
25,-7,7
34,-5,-18
41,-15,2
1,11,-16
23,14,-43
28,0,-10
33,-3,4
17,-1,-22
33,-5,23
16,-3,-18
37,-2,-8
43,-7,21
36,0,-11
32,4,-14
29,10,-9
33,-2,0
42,-6,13
35,-1,1
40,-5,-12
29,-5,-9
23,4,-11
36,-1,1
38,5,1
32,8,-13
47,-12,15
19,-6,7
36,7,-13
42,-8,-1
27,-2,-13
24,3,-11
32,2,1
33,0,0
30,8,3
41,4,-9
38,0,-13
33,8,-12
25,-1,-11
26,-13,1
42,-5,-12
47,-7,4
27,-5,4
31,2,-9
32,6,-7
38,1,-8
45,8,-38
0,-25,20
23,-14,12
18,9,-24
48,-9,22
21,5,-23
27,-3,-8
32,17,-17
20,8,-1
31,-8,4
26,1,-22
42,-20,37
21,-8,3
33,-5,-7
34,-11,5
23,7,-20
7,9,-18
12,-13,-2
40,5,-41
54,-21,27
2,-4,18
38,-1,-41
49,-17,-14
21,-6,-21
23,-15,13
37,11,-20
59,6,-18
31,-12,20
22,0,2
41,14,-14
46,-1,-18
32,-5,19
20,-15,14
47,5,6
21,12,3
41,5,-15
52,-15,9
35,-16,27
43,-11,-4
45,-21,21
40,-3,16
14,10,-29
19,-5,16
28,9,-26
45,4,-15
35,-12,13
16,3,-19
37,6,-15
36,3,-3
20,15,-15
23,6,6
28,0,-12
31,8,-9
30,-6,18
39,0,-6
44,-2,-32
14,-15,-1
34,11,16
44,3,13
45,-13,24
43,14,-39
28,-9,9
24,-11,0
52,11,-33
36,-9,26
11,11,-36
25,5,-18
6,-11,22
13,1,-26
78,-14,5
34,-8,-5
18,-5,2
16,7,-11
35,4,-17
46,9,-6
30,-7,14
18,-8,-10
32,9,-8
34,0,-11
38,0,-8
-1,12,-6
29,-17,1
18,18,-32
7,-2,-12
15,0,15
32,2,-30
47,-18,16
25,-4,-11
34,8,-25
31,-4,3
33,-1,1
37,11,-14
42,5,-19
29,-1,-6
20,0,0
35,2,-5
44,7,-11
34,-5,11
31,-21,18
48,-6,-7
48,-7,8
39,8,-17
26,-2,-1
23,-8,-6
31,6,-38
22,-8,-9
32,-5,-8
43,7,12
31,4,-7
34,17,-26
5,0,4
55,-13,1
61,0,-5
4,-19,17
2,5,-30
27,0,9
59,-12,15
21,-2,-10
19,-14,-2
34,-4,-31
33,2,-1
29,13,21
31,1,-54
36,-16,24
29,0,7
39,7,-40
58,-7,39
26,4,-39
11,14,-21
53,17,-1
18,10,-51
42,-6,28
41,1,-19
40,3,-24
52,-12,36
6,-16,0
50,-7,-3
30,-2,-17
24,-7,3
10,10,1
39,-15,-3
46,9,-31
23,-5,17
24,-11,-5
45,-1,-2
60,6,5
37,-9,-7
40,-2,-5
34,-8,-2
32,10,-8
8,12,-6
14,-10,-16
27,-4,-6
38,2,-16
42,13,-22
25,5,3
26,1,-2
31,10,-21
52,-10,-3
25,15,-29
28,10,5
15,-5,-6
15,6,2
40,0,-10
46,5,-2
44,-2,20
26,-12,6
50,-12,-30
29,-1,-14
19,4,24
23,-10,27
47,1,10
42,3,-34
13,-5,-3
21,-10,0
44,-15,2
43,-7,17
26,-10,-10
15,3,-16
35,-4,11
40,2,-21
17,-2,-6
4,3,-20
30,5,4
26,-1,-8
29,-1,-8
36,0,6
28,2,5
48,4,9
45,-12,-12
26,-8,0
29,-3,7
28,16,-20
35,8,11
43,11,-12
-8,0,-11
18,-10,16
69,11,-59
27,-25,17
34,12,-56
-26,1,-24
91,-16,60
69,21,-6
14,-8,-23
1,7,-12
19,7,-19
57,-22,19
45,-3,-16
19,15,3
13,-1,1
39,3,-48
33,-17,38
29,10,-7
32,3,-18
8,-8,3
46,-6,-56
34,-3,12
20,17,-4
26,31,-57
